,Unnamed: 0,MatchID,TeamID,OriginPlayerID,DestinationPlayerID,MatchPeriod,EventTime,EventSubType,EventOrigin_x,EventOrigin_y,EventDestination_x,EventDestination_y,Position,OriginPlayerID_,OriginPlayerIDFit,DestinationPlayerID_,DestinationPlayerIDFit,PlayerIDFitPair,PassingBetweenPlayerCount,DestinationPosition,PositionFitPair,PassingBetweenPositionCount,dist,PositionFitPairScore,OneDevideDist,StdPassingBetweenPlayerCount,weight
16,53,1,Opponent1,Opponent1_D2,Opponent1_D1,1H,452.249359,High pass,51,13,84.0,12.0,D,D2,1,D1,0,"(1, 0)",103,D,"('D', 'D')",1795,33.015148038438355,1.0,0.030289126640769135,0.6666666666666666,0.5656519311024786
17,64,1,Opponent1,Opponent1_F3,Opponent1_F2,1H,504.396917,Simple pass,54,84,55.0,48.0,F,F3,9,F2,8,"(9, 8)",12,F,"('F', 'F')",169,36.013886210738214,1.0,0.027767067240353285,0.0718954248366013,0.3665541640256515
18,65,1,Opponent1,Opponent1_F2,Opponent1_M2,1H,506.680864,Simple pass,55,48,55.0,32.0,F,F2,8,M2,16,"(8, 16)",47,M,"('F', 'M')",680,16.0,0.75,0.0625,0.3006535947712418,0.37105119825708055
19,66,1,Opponent1,Opponent1_M2,Opponent1_D1,1H,510.87465499999996,Simple pass,55,32,43.0,28.0,M,M2,16,D1,0,"(16, 0)",83,D,"('M', 'D')",2499,12.649110640673518,0.25,0.07905694150420949,0.5359477124183006,0.2883348846408367
20,67,1,Opponent1,Opponent1_D1,Opponent1_D2,1H,512.290179,Simple pass,43,28,41.0,38.0,D,D1,0,D2,1,"(0, 1)",129,D,"('D', 'D')",1795,10.198039027185569,1.0,0.09805806756909202,0.8366013071895425,0.6448864582528782
21,68,1,Opponent1,Opponent1_D2,Opponent1_M3,1H,516.923641,Simple pass,61,52,57.0,86.0,D,D2,1,M3,17,"(1, 17)",129,M,"('D', 'M')",2526,34.23448553724738,0.75,0.0292103118918493,0.8366013071895425,0.5386038730271305
22,69,1,Opponent1,Opponent1_M3,Opponent1_F3,1H,520.306956,Smart pass,57,86,99.0,72.0,M,M3,17,F3,9,"(17, 9)",38,F,"('M', 'F')",809,44.27188724235731,0.25,0.022587697572631283,0.24183006535947713,0.1714725876440361
23,70,1,Opponent1,Opponent1_M3,Opponent1_D1,1H,605.781783,Simple pass,62,68,55.0,29.0,M,M3,17,D1,0,"(17, 0)",114,D,"('M', 'D')",2499,39.6232255123179,0.25,0.025237723256253435,0.738562091503268,0.3379332715865071
24,71,1,Opponent1,Opponent1_D1,Opponent1_M1,1H,607.6659480000002,Simple pass,55,29,60.0,27.0,D,D1,0,M1,15,"(0, 15)",106,M,"('D', 'M')",2526,5.385164807134504,0.75,0.18569533817705186,0.6862745098039216,0.5406566159936578
25,72,1,Opponent1,Opponent1_M1,Opponent1_M2,1H,609.742066,Simple pass,60,27,71.0,8.0,M,M1,15,M2,16,"(15, 16)",153,M,"('M', 'M')",2615,21.95449840010015,1.0,0.04554875186742769,0.9934640522875817,0.6796709347183365
26,73,1,Opponent1,Opponent1_M2,Opponent1_F2,1H,611.626465,Simple pass,71,8,67.0,14.0,M,M2,16,F2,8,"(16, 8)",51,F,"('M', 'F')",809,7.211102550927978,0.25,0.1386750490563073,0.32679738562091504,0.2384908115590741
27,74,1,Opponent1,Opponent1_F2,Opponent1_M2,1H,614.115182,Smart pass,67,14,90.0,7.0,F,F2,8,M2,16,"(8, 16)",47,M,"('F', 'M')",680,24.041630560342615,0.75,0.04159451654038515,0.3006535947712418,0.3640827037705423
28,75,1,Opponent1,Opponent1_D2,Opponent1_F2,1H,628.545296,Head pass,53,15,75.0,10.0,D,D2,1,F2,8,"(1, 8)",46,F,"('D', 'F')",607,22.561028345356956,0.5,0.04432422071779363,0.29411764705882354,0.2794806225922057
29,93,1,Opponent1,Opponent1_G1,Opponent1_D3,1H,694.4147320000002,Hand pass,13,69,28.0,96.0,G,G1,13,D3,2,"(13, 2)",63,D,"('G', 'D')",331,30.886890422961002,0.5,0.0323761954119088,0.40522875816993464,0.3125349845272811
30,94,1,Opponent1,Opponent1_D3,Opponent1_M2,1H,698.0026190000002,Simple pass,28,96,32.0,91.0,D,D3,2,M2,16,"(2, 16)",74,M,"('D', 'M')",2526,6.4031242374328485,0.75,0.15617376188860607,0.477124183006536,0.4610993149650473
31,95,1,Opponent1,Opponent1_M2,Opponent1_G1,1H,699.2672190000002,Simple pass,32,91,9.0,64.0,M,M2,16,G1,13,"(16, 13)",20,G,"('M', 'G')",79,35.4682957019364,0.75,0.028194193721730047,0.12418300653594772,0.3007924000858926
32,106,1,Opponent1,Opponent1_G1,Opponent1_D2,1H,907.768956,Simple pass,19,61,42.0,16.0,G,G1,13,D2,1,"(13, 1)",74,D,"('G', 'D')",331,50.53711507397311,0.5,0.019787437382135124,0.477124183006536,0.33230387346289036
33,107,1,Opponent1,Opponent1_D2,Opponent1_F1,1H,911.123578,High pass,42,16,85.0,48.0,D,D2,1,F1,7,"(1, 7)",65,F,"('D', 'F')",607,53.600373133029585,0.5,0.018656586541256383,0.41830065359477125,0.3123190800453425
34,110,1,Opponent1,Opponent1_F2,Opponent1_M1,1H,948.626794,Simple pass,30,16,37.0,33.0,F,F2,8,M1,15,"(8, 15)",47,M,"('F', 'M')",680,18.384776310850235,0.75,0.05439282932204212,0.3006535947712418,0.3683488080310946
35,111,1,Opponent1,Opponent1_M1,Opponent1_M2,1H,952.7279269999999,Simple pass,37,33,47.0,54.0,M,M1,15,M2,16,"(15, 16)",153,M,"('M', 'M')",2615,23.259406699226016,1.0,0.04299335803923478,0.9934640522875817,0.6788191367756055
36,112,1,Opponent1,Opponent1_M1,Opponent1_F1,1H,974.1612279999999,Simple pass,58,10,73.0,15.0,M,M1,15,F1,7,"(15, 7)",93,F,"('M', 'F')",809,15.811388300841896,0.25,0.06324555320336758,0.6013071895424836,0.30485091424861704
37,114,1,Opponent1,Opponent1_F1,Opponent1_M1,1H,978.084482,Simple pass,71,20,56.0,26.0,F,F1,7,M1,15,"(7, 15)",68,M,"('F', 'M')",680,16.15549442140351,0.75,0.061898446059017294,0.43790849673202614,0.4166023142636811
38,115,1,Opponent1,Opponent1_M1,Opponent1_D3,1H,978.887699,Simple pass,56,26,63.0,60.0,M,M1,15,D3,2,"(15, 2)",113,D,"('M', 'D')",2499,34.713109915419565,0.25,0.02880756009578387,0.7320261437908496,0.33694456796221117
39,116,1,Opponent1,Opponent1_D3,Opponent1_M1,1H,983.6546210000001,Simple pass,63,60,60.0,36.0,D,D3,2,M1,15,"(2, 15)",90,M,"('D', 'M')",2526,24.186773244895647,0.75,0.041344911529736156,0.5816993464052288,0.45768141931165496
40,117,1,Opponent1,Opponent1_M1,Opponent1_M2,1H,987.186874,Simple pass,60,36,71.0,67.0,M,M1,15,M2,16,"(15, 16)",153,M,"('M', 'M')",2615,32.89376840679705,1.0,0.030400895015524083,0.9934640522875817,0.6746216491010353
41,118,1,Opponent1,Opponent1_M2,Opponent1_D3,1H,989.23669,Simple pass,71,67,57.0,71.0,M,M2,16,D3,2,"(16, 2)",89,D,"('M', 'D')",2499,14.560219778561036,0.25,0.06868028197434452,0.5751633986928104,0.29794789355571827
42,119,1,Opponent1,Opponent1_D3,Opponent1_M1,1H,991.2322529999999,Simple pass,57,71,55.0,52.0,D,D3,2,M1,15,"(2, 15)",90,M,"('D', 'M')",2526,19.1049731745428,0.75,0.052342392259021375,0.5816993464052288,0.4613472462214167
43,120,1,Opponent1,Opponent1_M1,Opponent1_D2,1H,995.008376,Simple pass,55,52,58.0,32.0,M,M1,15,D2,1,"(15, 1)",127,D,"('M', 'D')",2499,20.223748416156685,0.25,0.049446817643414874,0.8235294117647058,0.3743254098027069
44,121,1,Opponent1,Opponent1_D2,Opponent1_M3,1H,997.7131509999999,Simple pass,58,32,65.0,40.0,D,D2,1,M3,17,"(1, 17)",129,M,"('D', 'M')",2526,10.63014581273465,0.75,0.09407208683835973,0.8366013071895425,0.5602244646759673
45,122,1,Opponent1,Opponent1_M3,Opponent1_M1,1H,999.236592,Simple pass,65,40,64.0,56.0,M,M3,17,M1,15,"(17, 15)",152,M,"('M', 'M')",2615,16.0312195418814,1.0,0.06237828615518053,0.9869281045751634,0.6831021302434479
46,123,1,Opponent1,Opponent1_M1,Opponent1_D2,1H,1002.00926,Simple pass,64,56,75.0,30.0,M,M1,15,D2,1,"(15, 1)",127,D,"('M', 'D')",2499,28.231188426986208,0.25,0.03542181734879073,0.8235294117647058,0.3696504097044988
47,124,1,Opponent1,Opponent1_D2,Opponent1_F2,1H,1003.7057460000001,Simple pass,75,30,72.0,59.0,D,D2,1,F2,8,"(1, 8)",46,F,"('D', 'F')",607,29.154759474226502,0.5,0.03429971702850177,0.29411764705882354,0.27613912136244173
48,125,1,Opponent1,Opponent1_M2,Opponent1_M2,1H,1017.845967,Simple pass,78,18,74.0,8.0,M,M2,16,M2,16,"(16, 16)",10,M,"('M', 'M')",2615,10.770329614269007,1.0,0.09284766908852593,0.058823529411764705,0.38389039950009685
49,126,1,Opponent1,Opponent1_M2,Opponent1_M1,1H,1018.9772439999999,Simple pass,74,8,64.0,40.0,M,M2,16,M1,15,"(16, 15)",136,M,"('M', 'M')",2615,33.52610922848042,1.0,0.02982749931359468,0.8823529411764706,0.637393480163355
50,127,1,Opponent1,Opponent1_M1,Opponent1_F2,1H,1024.129555,Simple pass,64,40,69.0,58.0,M,M1,15,F2,8,"(15, 8)",63,F,"('M', 'F')",809,18.681541692269406,0.25,0.05352877275721892,0.40522875816993464,0.23625251030905117
51,128,1,Opponent1,Opponent1_F2,Opponent1_M1,1H,1025.4887210000004,Simple pass,69,58,64.0,53.0,F,F2,8,M1,15,"(8, 15)",47,M,"('F', 'M')",680,7.0710678118654755,0.75,0.1414213562373095,0.3006535947712418,0.3973583170028504
52,129,1,Opponent1,Opponent1_M1,Opponent1_D3,1H,1026.600096,Simple pass,64,53,74.0,83.0,M,M1,15,D3,2,"(15, 2)",113,D,"('M', 'D')",2499,31.622776601683793,0.25,0.03162277660168379,0.7320261437908496,0.3378829734641778
53,130,1,Opponent1,Opponent1_D3,Opponent1_F2,1H,1032.126828,Simple pass,74,83,66.0,67.0,D,D3,2,F2,8,"(2, 8)",31,F,"('D', 'F')",607,17.88854381999832,0.5,0.05590169943749474,0.19607843137254902,0.2506600436033479
54,131,1,Opponent1,Opponent1_M3,Opponent1_D3,1H,1048.457823,Simple pass,80,79,80.0,84.0,M,M3,17,D3,2,"(17, 2)",123,D,"('M', 'D')",2499,5.0,0.25,0.2,0.7973856209150327,0.4157952069716776
55,147,1,Opponent1,Opponent1_D2,Opponent1_G1,1H,1212.753315,Simple pass,33,14,18.0,55.0,D,D2,1,G1,13,"(1, 13)",76,G,"('D', 'G')",383,43.657759905886145,0.5,0.022905435417568808,0.49019607843137253,0.33770050461631373
56,148,1,Opponent1,Opponent1_G1,Opponent1_F3,1H,1228.9195960000004,Launch,18,55,76.0,88.0,G,G1,13,F3,9,"(13, 9)",10,F,"('G', 'F')",73,66.73080248281148,0.125,0.014985583310759375,0.058823529411764705,0.06626970424084136
57,212,1,Opponent1,Opponent1_M1,Opponent1_M2,1H,1693.228444,Simple pass,38,72,62.0,67.0,M,M1,15,M2,16,"(15, 16)",153,M,"('M', 'M')",2615,24.515301344262525,1.0,0.04079085082240021,0.9934640522875817,0.6780849677033273
58,218,1,Opponent1,Opponent1_F1,Opponent1_F2,1H,1791.1042489999998,Simple pass,79,14,68.0,18.0,F,F1,7,F2,8,"(7, 8)",27,F,"('F', 'F')",169,11.704699910719626,1.0,0.0854357657716761,0.16993464052287582,0.4184568020981839
59,219,1,Opponent1,Opponent1_F2,Opponent1_D4,1H,1794.176617,Simple pass,68,18,51.0,49.0,F,F2,8,D4,3,"(8, 3)",20,D,"('F', 'D')",336,35.35533905932738,0.5,0.0282842712474619,0.12418300653594772,0.21748909259446986
60,220,1,Opponent1,Opponent1_D4,Opponent1_M1,1H,1797.149069,Simple pass,51,49,54.0,57.0,D,D4,3,M1,15,"(3, 15)",136,M,"('D', 'M')",2526,8.54400374531753,0.75,0.11704114719613057,0.8823529411764706,0.583131362790867
61,221,1,Opponent1,Opponent1_M1,Opponent1_F1,1H,1799.0961899999998,High pass,54,57,90.0,15.0,M,M1,15,F1,7,"(15, 7)",93,F,"('M', 'F')",809,55.31726674375732,0.25,0.018077538151554683,0.6013071895424836,0.2897949092313461
62,222,1,Opponent1,Opponent1_F1,Opponent1_D1,1H,1804.670882,Simple pass,90,15,73.0,8.0,F,F1,7,D1,0,"(7, 0)",31,D,"('F', 'D')",336,18.384776310850235,0.5,0.05439282932204212,0.19607843137254902,0.25015708689819705
63,223,1,Opponent1,Opponent1_D1,Opponent1_F2,1H,1808.428454,Simple pass,73,8,82.0,23.0,D,D1,0,F2,8,"(0, 8)",39,F,"('D', 'F')",607,17.4928556845359,0.5,0.05716619504750295,0.24836601307189543,0.26851073603979947
64,246,1,Opponent1,Opponent1_M2,Opponent1_M1,1H,1999.175661,Simple pass,91,93,84.0,92.0,M,M2,16,M1,15,"(16, 15)",136,M,"('M', 'M')",2615,7.0710678118654755,1.0,0.1414213562373095,0.8823529411764706,0.67459143247126
65,247,1,Opponent1,Opponent1_F2,Opponent1_D1,1H,2033.7884960000001,Simple pass,78,81,53.0,54.0,F,F2,8,D1,0,"(8, 0)",16,D,"('F', 'D')",336,36.796738985948195,0.5,0.0271763212599322,0.09803921568627451,0.2084051789820689
66,248,1,Opponent1,Opponent1_D1,Opponent1_M3,1H,2037.291987,Simple pass,53,54,58.0,34.0,D,D1,0,M3,17,"(0, 17)",146,M,"('D', 'M')",2526,20.615528128088304,0.75,0.048507125007266595,0.9477124183006536,0.5820731811026401
67,249,1,Opponent1,Opponent1_M3,Opponent1_D2,1H,2078.86416,Simple pass,30,16,14.0,25.0,M,M3,17,D2,1,"(17, 1)",117,D,"('M', 'D')",2499,18.35755975068582,0.25,0.05447347107028433,0.7581699346405228,0.354214468570269
68,250,1,Opponent1,Opponent1_D2,Opponent1_F1,1H,2080.2745760000007,High pass,14,25,54.0,28.0,D,D2,1,F1,7,"(1, 7)",65,F,"('D', 'F')",607,40.11234224026316,0.5,0.024929982747211407,0.41830065359477125,0.3144102121139942
69,257,1,Opponent1,Opponent1_D3,Opponent1_D2,1H,2160.647917,Simple pass,30,78,31.0,30.0,D,D3,2,D2,1,"(2, 1)",78,D,"('D', 'D')",1795,48.010415536631214,1.0,0.02082881368183567,0.5032679738562091,0.5080322625126816
70,258,1,Opponent1,Opponent1_D2,Opponent1_D1,1H,2164.4410780000007,Simple pass,31,30,34.0,14.0,D,D2,1,D1,0,"(1, 0)",103,D,"('D', 'D')",1795,16.278820596099706,1.0,0.06142951168339512,0.6666666666666666,0.5760320594500206
71,259,1,Opponent1,Opponent1_D1,Opponent1_F2,1H,2169.746612,Simple pass,34,14,42.0,9.0,D,D1,0,F2,8,"(0, 8)",39,F,"('D', 'F')",607,9.433981132056603,0.5,0.105999788000636,0.24836601307189543,0.28478860035751047
72,260,1,Opponent1,Opponent1_F2,Opponent1_D2,1H,2171.9798140000007,Simple pass,42,9,43.0,6.0,F,F2,8,D2,1,"(8, 1)",22,D,"('F', 'D')",336,3.1622776601683795,0.5,0.31622776601683794,0.13725490196078433,0.31782755599254076
73,267,1,Opponent1,Opponent1_M3,Opponent1_F2,1H,2203.708633,Simple pass,34,63,42.0,37.0,M,M3,17,F2,8,"(17, 8)",46,F,"('M', 'F')",809,27.202941017470888,0.25,0.036760731104690386,0.29411764705882354,0.19362612605450463
74,268,1,Opponent1,Opponent1_F2,Opponent1_M1,1H,2207.635025,Simple pass,47,53,47.0,64.0,F,F2,8,M1,15,"(8, 15)",47,M,"('F', 'M')",680,11.0,0.75,0.09090909090909091,0.3006535947712418,0.38052089522677757
75,269,1,Opponent1,Opponent1_M1,Opponent1_D1,1H,2210.2367280000008,High pass,47,64,99.0,16.0,M,M1,15,D1,0,"(15, 0)",125,D,"('M', 'D')",2499,70.76722405181653,0.25,0.014130835473605538,0.8104575163398693,0.35819611727115824
76,282,1,Opponent1,Opponent1_D2,Opponent1_M2,1H,2281.555748,Simple pass,35,35,48.0,56.0,D,D2,1,M2,16,"(1, 16)",102,M,"('D', 'M')",2526,24.698178070456937,0.75,0.0404888165089458,0.6601307189542484,0.4835398451543981
77,283,1,Opponent1,Opponent1_M2,Opponent1_D3,1H,2285.971589,Simple pass,48,56,59.0,88.0,M,M2,16,D3,2,"(16, 2)",89,D,"('M', 'D')",2499,33.83784863137726,0.25,0.029552706228277083,0.5751633986928104,0.28490536830702917
78,284,1,Opponent1,Opponent1_D3,Opponent1_F3,1H,2288.089607,Smart pass,59,88,80.0,82.0,D,D3,2,F3,9,"(2, 9)",16,F,"('D', 'F')",607,21.840329667841555,0.5,0.04578685464956301,0.09803921568627451,0.21460869011194583
79,287,1,Opponent1,Opponent1_M1,Opponent1_M3,1H,2308.140323,Simple pass,22,63,25.0,70.0,M,M1,15,M3,17,"(15, 17)",154,M,"('M', 'M')",2615,7.615773105863909,1.0,0.13130643285972254,1.0,0.7104354776199076
80,288,1,Opponent1,Opponent1_M3,Opponent1_M2,1H,2309.186807,Simple pass,25,70,40.0,83.0,M,M3,17,M2,16,"(17, 16)",138,M,"('M', 'M')",2615,19.849433241279208,1.0,0.05037927218598784,0.8954248366013072,0.648601369595765
81,289,1,Opponent1,Opponent1_M2,Opponent1_F3,1H,2313.458965,Simple pass,40,83,76.0,85.0,M,M2,16,F3,9,"(16, 9)",32,F,"('M', 'F')",809,36.05551275463989,0.25,0.027735009811261455,0.20261437908496732,0.16011646296540957
82,290,1,Opponent1,Opponent1_F3,Opponent1_M3,1H,2321.862986,Simple pass,76,85,89.0,89.0,F,F3,9,M3,17,"(9, 17)",29,M,"('F', 'M')",680,13.601470508735444,0.75,0.07352146220938077,0.1830065359477124,0.33550933271903105
83,294,1,Opponent1,Opponent1_D3,Opponent1_F2,1H,2444.350446,Simple pass,20,71,40.0,7.0,D,D3,2,F2,8,"(2, 8)",31,F,"('D', 'F')",607,67.05221845696084,0.5,0.01491374965679734,0.19607843137254902,0.23699739367644876
84,295,1,Opponent1,Opponent1_F2,Opponent1_M1,1H,2457.132799,Simple pass,40,7,41.0,19.0,F,F2,8,M1,15,"(8, 15)",47,M,"('F', 'M')",680,12.041594578792296,0.75,0.08304547985373997,0.3006535947712418,0.3778996915416606
85,296,1,Opponent1,Opponent1_G1,Opponent1_D2,1H,2477.697656,Simple pass,13,43,42.0,12.0,G,G1,13,D2,1,"(13, 1)",74,D,"('G', 'D')",331,42.44997055358225,0.5,0.023557142371577276,0.477124183006536,0.3335604417927044
86,297,1,Opponent1,Opponent1_D2,Opponent1_F1,1H,2485.539002,High pass,42,12,64.0,17.0,D,D2,1,F1,7,"(1, 7)",65,F,"('D', 'F')",607,22.561028345356956,0.5,0.04432422071779363,0.41830065359477125,0.32087495810418826
87,298,1,Opponent1,Opponent1_M1,Opponent1_M3,1H,2608.514427,Head pass,78,40,77.0,66.0,M,M1,15,M3,17,"(15, 17)",154,M,"('M', 'M')",2615,26.019223662515376,1.0,0.03843312210120439,1.0,0.6794777073670681
88,299,1,Opponent1,Opponent1_M3,Opponent1_D4,1H,2610.753257,Cross,77,66,88.0,45.0,M,M3,17,D4,3,"(17, 3)",93,D,"('M', 'D')",2499,23.706539182259394,0.25,0.04218245406095978,0.6013071895424836,0.2978298812011478
89,304,1,Opponent1,Opponent1_M2,Opponent1_F2,1H,2652.505927,Simple pass,53,65,61.0,50.0,M,M2,16,F2,8,"(16, 8)",51,F,"('M', 'F')",809,17.0,0.25,0.058823529411764705,0.32679738562091504,0.21187363834422657
90,305,1,Opponent1,Opponent1_F2,Opponent1_M3,1H,2654.492203,Simple pass,61,50,70.0,53.0,F,F2,8,M3,17,"(8, 17)",34,M,"('F', 'M')",680,9.486832980505138,0.75,0.10540925533894598,0.21568627450980393,0.3570318432829166
91,306,1,Opponent1,Opponent1_M3,Opponent1_F2,1H,2658.929429,Simple pass,70,53,77.0,80.0,M,M3,17,F2,8,"(17, 8)",46,F,"('M', 'F')",809,27.892651361962706,0.25,0.03585173696910374,0.29411764705882354,0.19332312800930906
92,314,1,Opponent1,Opponent1_M3,Opponent1_D2,1H,2789.997921,Simple pass,43,62,38.0,30.0,M,M3,17,D2,1,"(17, 1)",117,D,"('M', 'D')",2499,32.38826948140329,0.25,0.03087537605472192,0.7581699346405228,0.3463484368984149
93,315,1,Opponent1,Opponent1_D2,Opponent1_M1,1H,2792.948355,Simple pass,38,30,43.0,36.0,D,D2,1,M1,15,"(1, 15)",154,M,"('D', 'M')",2526,7.810249675906654,0.75,0.12803687993289598,1.0,0.6260122933109653
94,316,1,Opponent1,Opponent1_M1,Opponent1_D3,1H,2794.58112,Simple pass,43,36,41.0,83.0,M,M1,15,D3,2,"(15, 2)",113,D,"('M', 'D')",2499,47.042533945356304,0.25,0.021257358312406823,0.7320261437908496,0.3344278340344188
95,317,1,Opponent1,Opponent1_D3,Opponent1_D3,1H,2799.115514,Simple pass,41,83,43.0,76.0,D,D3,2,D3,2,"(2, 2)",13,D,"('D', 'D')",1795,7.280109889280518,1.0,0.13736056394868904,0.0784313725490196,0.40526397883256954
96,318,1,Opponent1,Opponent1_D3,Opponent1_D1,1H,2805.2621440000007,High pass,43,76,89.0,17.0,D,D3,2,D1,0,"(2, 0)",89,D,"('D', 'D')",1795,74.81310045707235,1.0,0.013366642926044732,0.5751633986928104,0.5295100138729516
97,321,1,Opponent1,Opponent1_F1,Opponent1_D1,2H,15.241089999999984,Simple pass,89,14,89.0,7.0,F,F1,7,D1,0,"(7, 0)",31,D,"('F', 'D')",336,7.0,0.5,0.14285714285714285,0.19607843137254902,0.2796451914098973
98,332,1,Opponent1,Opponent1_F3,Opponent1_M2,2H,122.75173399999994,Simple pass,77,88,74.0,77.0,F,F3,9,M2,16,"(9, 16)",22,M,"('F', 'M')",680,11.40175425099138,0.75,0.08770580193070293,0.13725490196078433,0.3249869012971624
99,333,1,Opponent1,Opponent1_M2,Opponent1_F2,2H,124.6251309999998,High pass,74,77,88.0,61.0,M,M2,16,F2,8,"(16, 8)",51,F,"('M', 'F')",809,21.2602916254693,0.25,0.047036043419179864,0.32679738562091504,0.20794447634669827
100,334,1,Opponent1,Opponent1_D3,Opponent1_M1,2H,154.36210900000015,Head pass,46,67,56.0,37.0,D,D3,2,M1,15,"(2, 15)",90,M,"('D', 'M')",2526,31.622776601683793,0.75,0.03162277660168379,0.5816993464052288,0.4544407076689708
101,335,1,Opponent1,Opponent1_D1,Opponent1_D1,2H,158.8341620000001,Simple pass,55,19,61.0,10.0,D,D1,0,D1,0,"(0, 0)",26,D,"('D', 'D')",1795,10.816653826391969,1.0,0.09245003270420485,0.16339869281045752,0.41861624183822077
102,343,1,Opponent1,Opponent1_D3,Opponent1_M2,2H,196.65804900000006,High pass,35,91,74.0,93.0,D,D3,2,M2,16,"(2, 16)",74,M,"('D', 'M')",2526,39.05124837953327,0.75,0.025607375986579195,0.477124183006536,0.41757718633103835
