,MatchID,TeamID,OriginPlayerID,DestinationPlayerID,MatchPeriod,EventTime,EventSubType,EventOrigin_x,EventOrigin_y,EventDestination_x,EventDestination_y,Position,OriginPlayerIDFit,DestinationPlayerIDFit,PlayerIDFitPair,PassingBetweenPlayerCount,DestinationPosition,PositionFitPair,PassingBetweenPositionCount
35,1,Huskies,Huskies_M2,Huskies_M3,1H,402.505899,Simple pass,33,20,33.0,35.0,M,22,23,"(22, 23)",12,M,"('M', 'M')",1301
36,1,Huskies,Huskies_M3,Huskies_D3,1H,403.23103,Simple pass,33,35,24.0,24.0,M,23,3,"(23, 3)",56,D,"('M', 'D')",1668
37,1,Huskies,Huskies_D3,Huskies_D2,1H,405.51327799999996,Simple pass,24,24,29.0,68.0,D,3,2,"(3, 2)",35,D,"('D', 'D')",1478
38,1,Huskies,Huskies_D2,Huskies_D1,1H,409.39515100000006,Simple pass,29,68,25.0,88.0,D,2,0,"(2, 0)",62,D,"('D', 'D')",1478
39,1,Huskies,Huskies_D1,Huskies_M1,1H,411.012684,Simple pass,25,88,31.0,99.0,D,0,17,"(0, 17)",92,M,"('D', 'M')",1520
40,1,Huskies,Huskies_M1,Huskies_D1,1H,413.899208,Simple pass,31,99,27.0,88.0,M,17,0,"(17, 0)",85,D,"('M', 'D')",1668
41,1,Huskies,Huskies_D1,Huskies_D2,1H,415.523873,Simple pass,27,88,29.0,53.0,D,0,2,"(0, 2)",59,D,"('D', 'D')",1478
42,1,Huskies,Huskies_D2,Huskies_D3,1H,417.778381,Simple pass,29,53,37.0,14.0,D,2,3,"(2, 3)",49,D,"('D', 'D')",1478
43,1,Huskies,Huskies_D3,Huskies_M2,1H,421.15364400000004,Simple pass,37,14,42.0,16.0,D,3,22,"(3, 22)",5,M,"('D', 'M')",1520
44,1,Huskies,Huskies_M2,Huskies_D2,1H,423.251583,Simple pass,42,16,36.0,54.0,M,22,2,"(22, 2)",3,D,"('M', 'D')",1668
45,1,Huskies,Huskies_D2,Huskies_D1,1H,426.777238,Simple pass,36,54,32.0,85.0,D,2,0,"(2, 0)",62,D,"('D', 'D')",1478
46,1,Huskies,Huskies_D1,Huskies_F2,1H,429.55057300000004,Simple pass,32,85,59.0,67.0,D,0,11,"(0, 11)",49,F,"('D', 'F')",999
54,1,Huskies,Huskies_M3,Huskies_D1,1H,470.526751,Simple pass,38,74,23.0,81.0,M,23,0,"(23, 0)",74,D,"('M', 'D')",1668
55,1,Huskies,Huskies_D1,Huskies_D2,1H,472.345004,Simple pass,23,81,33.0,56.0,D,0,2,"(0, 2)",59,D,"('D', 'D')",1478
56,1,Huskies,Huskies_D2,Huskies_D3,1H,475.81912,Simple pass,33,56,31.0,16.0,D,2,3,"(2, 3)",49,D,"('D', 'D')",1478
57,1,Huskies,Huskies_D3,Huskies_D2,1H,478.063252,Simple pass,31,16,35.0,59.0,D,3,2,"(3, 2)",35,D,"('D', 'D')",1478
58,1,Huskies,Huskies_D2,Huskies_M3,1H,483.459683,Simple pass,35,59,37.0,42.0,D,2,23,"(2, 23)",44,M,"('D', 'M')",1520
59,1,Huskies,Huskies_M3,Huskies_D2,1H,486.904146,Simple pass,37,42,41.0,84.0,M,23,2,"(23, 2)",46,D,"('M', 'D')",1668
60,1,Huskies,Huskies_D2,Huskies_M1,1H,488.64204600000005,Simple pass,41,84,49.0,97.0,D,2,17,"(2, 17)",46,M,"('D', 'M')",1520
61,1,Huskies,Huskies_M1,Huskies_D1,1H,492.913649,Simple pass,49,97,40.0,86.0,M,17,0,"(17, 0)",85,D,"('M', 'D')",1668
62,1,Huskies,Huskies_D1,Huskies_D2,1H,495.203497,Simple pass,40,86,43.0,46.0,D,0,2,"(0, 2)",59,D,"('D', 'D')",1478
63,1,Huskies,Huskies_D2,Huskies_D3,1H,499.17736900000006,Simple pass,43,46,44.0,13.0,D,2,3,"(2, 3)",49,D,"('D', 'D')",1478
76,1,Huskies,Huskies_D2,Huskies_F2,1H,634.315811,Simple pass,35,61,32.0,72.0,D,2,11,"(2, 11)",56,F,"('D', 'F')",999
77,1,Huskies,Huskies_D1,Huskies_D3,1H,638.7163360000001,Simple pass,20,67,22.0,37.0,D,0,3,"(0, 3)",105,D,"('D', 'D')",1478
78,1,Huskies,Huskies_D3,Huskies_M3,1H,644.849345,Simple pass,41,42,44.0,35.0,D,3,23,"(3, 23)",54,M,"('D', 'M')",1520
79,1,Huskies,Huskies_M3,Huskies_M2,1H,648.45343,Simple pass,44,35,58.0,25.0,M,23,22,"(23, 22)",7,M,"('M', 'M')",1301
80,1,Huskies,Huskies_M2,Huskies_M3,1H,648.788178,Simple pass,58,25,44.0,45.0,M,22,23,"(22, 23)",12,M,"('M', 'M')",1301
81,1,Huskies,Huskies_M3,Huskies_D1,1H,654.2725469999999,Simple pass,44,45,45.0,88.0,M,23,0,"(23, 0)",74,D,"('M', 'D')",1668
82,1,Huskies,Huskies_D1,Huskies_M1,1H,656.786591,Simple pass,45,88,46.0,66.0,D,0,17,"(0, 17)",92,M,"('D', 'M')",1520
83,1,Huskies,Huskies_M1,Huskies_D2,1H,658.984182,Simple pass,46,66,35.0,53.0,M,17,2,"(17, 2)",63,D,"('M', 'D')",1668
84,1,Huskies,Huskies_D2,Huskies_D3,1H,660.927154,Simple pass,35,53,36.0,26.0,D,2,3,"(2, 3)",49,D,"('D', 'D')",1478
85,1,Huskies,Huskies_D3,Huskies_D4,1H,662.816659,Simple pass,36,26,44.0,9.0,D,3,4,"(3, 4)",59,D,"('D', 'D')",1478
86,1,Huskies,Huskies_D4,Huskies_D3,1H,664.192536,Simple pass,44,9,29.0,28.0,D,4,3,"(4, 3)",35,D,"('D', 'D')",1478
87,1,Huskies,Huskies_D3,Huskies_D1,1H,666.3982990000001,Simple pass,29,28,30.0,88.0,D,3,0,"(3, 0)",98,D,"('D', 'D')",1478
88,1,Huskies,Huskies_D1,Huskies_M1,1H,670.794207,Simple pass,30,88,54.0,98.0,D,0,17,"(0, 17)",92,M,"('D', 'M')",1520
89,1,Huskies,Huskies_M1,Huskies_D1,1H,672.4853889999999,Simple pass,54,98,40.0,88.0,M,17,0,"(17, 0)",85,D,"('M', 'D')",1668
90,1,Huskies,Huskies_D1,Huskies_D2,1H,677.030895,Simple pass,40,88,39.0,58.0,D,0,2,"(0, 2)",59,D,"('D', 'D')",1478
91,1,Huskies,Huskies_D2,Huskies_D3,1H,679.627443,Simple pass,39,58,42.0,22.0,D,2,3,"(2, 3)",49,D,"('D', 'D')",1478
92,1,Huskies,Huskies_D3,Huskies_D4,1H,681.346038,Simple pass,42,22,45.0,7.0,D,3,4,"(3, 4)",59,D,"('D', 'D')",1478
96,1,Huskies,Huskies_M2,Huskies_D4,1H,717.476578,Simple pass,88,10,94.0,5.0,M,22,4,"(22, 4)",12,D,"('M', 'D')",1668
97,1,Huskies,Huskies_D4,Huskies_M2,1H,719.441687,Simple pass,94,5,82.0,5.0,D,4,22,"(4, 22)",9,M,"('D', 'M')",1520
98,1,Huskies,Huskies_M3,Huskies_D3,1H,763.935874,Simple pass,31,4,26.0,15.0,M,23,3,"(23, 3)",56,D,"('M', 'D')",1668
99,1,Huskies,Huskies_D3,Huskies_D2,1H,766.375013,Simple pass,26,15,28.0,46.0,D,3,2,"(3, 2)",35,D,"('D', 'D')",1478
100,1,Huskies,Huskies_D2,Huskies_D1,1H,768.9595059999999,Simple pass,28,46,27.0,75.0,D,2,0,"(2, 0)",62,D,"('D', 'D')",1478
101,1,Huskies,Huskies_M1,Huskies_F2,1H,831.334785,Simple pass,20,54,23.0,63.0,M,17,11,"(17, 11)",182,F,"('M', 'F')",849
102,1,Huskies,Huskies_F2,Huskies_F1,1H,833.172272,Head pass,23,63,31.0,97.0,F,11,10,"(11, 10)",30,F,"('F', 'F')",299
103,1,Huskies,Huskies_F3,Huskies_M2,1H,876.588559,Simple pass,41,13,37.0,25.0,F,12,22,"(12, 22)",1,M,"('F', 'M')",699
104,1,Huskies,Huskies_M2,Huskies_F3,1H,877.617215,Simple pass,37,25,44.0,11.0,M,22,12,"(22, 12)",2,F,"('M', 'F')",849
105,1,Huskies,Huskies_D3,Huskies_F3,1H,888.4075290000002,High pass,43,40,76.0,8.0,D,3,12,"(3, 12)",1,F,"('D', 'F')",999
108,1,Huskies,Huskies_D1,Huskies_F3,1H,918.9819679999999,Simple pass,29,79,54.0,51.0,D,0,12,"(0, 12)",5,F,"('D', 'F')",999
109,1,Huskies,Huskies_D2,Huskies_D1,1H,940.147302,Simple pass,28,49,27.0,80.0,D,2,0,"(2, 0)",62,D,"('D', 'D')",1478
113,1,Huskies,Huskies_M2,Huskies_D2,1H,977.642684,Simple pass,36,73,27.0,85.0,M,22,2,"(22, 2)",3,D,"('M', 'D')",1668
132,1,Huskies,Huskies_D3,Huskies_G1,1H,1080.525643,Simple pass,15,18,13.0,45.0,D,3,16,"(3, 16)",120,G,"('D', 'G')",443
133,1,Huskies,Huskies_G1,Huskies_M1,1H,1083.6737679999999,High pass,13,45,39.0,97.0,G,16,17,"(16, 17)",24,M,"('G', 'M')",81
134,1,Huskies,Huskies_M1,Huskies_D1,1H,1086.5488679999999,Head pass,39,97,31.0,77.0,M,17,0,"(17, 0)",85,D,"('M', 'D')",1668
135,1,Huskies,Huskies_D1,Huskies_M3,1H,1088.3517,Simple pass,31,77,33.0,47.0,D,0,23,"(0, 23)",51,M,"('D', 'M')",1520
136,1,Huskies,Huskies_M3,Huskies_D3,1H,1092.1348460000002,Simple pass,33,47,29.0,12.0,M,23,3,"(23, 3)",56,D,"('M', 'D')",1668
137,1,Huskies,Huskies_D3,Huskies_D4,1H,1098.1089,Simple pass,71,8,72.0,7.0,D,3,4,"(3, 4)",59,D,"('D', 'D')",1478
138,1,Huskies,Huskies_D3,Huskies_D1,1H,1114.347374,Simple pass,58,8,41.0,73.0,D,3,0,"(3, 0)",98,D,"('D', 'D')",1478
139,1,Huskies,Huskies_M3,Huskies_M1,1H,1124.0566210000002,Simple pass,62,62,62.0,72.0,M,23,17,"(23, 17)",168,M,"('M', 'M')",1301
140,1,Huskies,Huskies_M1,Huskies_F2,1H,1128.904817,Simple pass,62,72,70.0,78.0,M,17,11,"(17, 11)",182,F,"('M', 'F')",849
141,1,Huskies,Huskies_F2,Huskies_M1,1H,1129.81297,Simple pass,70,78,74.0,60.0,F,11,17,"(11, 17)",117,M,"('F', 'M')",699
142,1,Huskies,Huskies_M1,Huskies_F1,1H,1145.628269,Simple pass,65,96,70.0,98.0,M,17,10,"(17, 10)",34,F,"('M', 'F')",849
143,1,Huskies,Huskies_F1,Huskies_F2,1H,1148.4961050000002,Simple pass,70,98,68.0,83.0,F,10,11,"(10, 11)",27,F,"('F', 'F')",299
144,1,Huskies,Huskies_F2,Huskies_D3,1H,1150.556157,Simple pass,68,83,66.0,38.0,F,11,3,"(11, 3)",56,D,"('F', 'D')",655
145,1,Huskies,Huskies_D3,Huskies_D4,1H,1154.0537769999999,Simple pass,66,38,79.0,4.0,D,3,4,"(3, 4)",59,D,"('D', 'D')",1478
146,1,Huskies,Huskies_M2,Huskies_M1,1H,1184.199743,Simple pass,70,8,65.0,61.0,M,22,17,"(22, 17)",6,M,"('M', 'M')",1301
149,1,Huskies,Huskies_M3,Huskies_D4,1H,1234.888756,Simple pass,28,19,19.0,5.0,M,23,4,"(23, 4)",88,D,"('M', 'D')",1668
150,1,Huskies,Huskies_D4,Huskies_D2,1H,1237.056443,Simple pass,19,5,21.0,39.0,D,4,2,"(4, 2)",30,D,"('D', 'D')",1478
151,1,Huskies,Huskies_D2,Huskies_D1,1H,1240.195071,Simple pass,21,39,27.0,76.0,D,2,0,"(2, 0)",62,D,"('D', 'D')",1478
152,1,Huskies,Huskies_D1,Huskies_M1,1H,1243.2778779999999,Simple pass,27,76,40.0,96.0,D,0,17,"(0, 17)",92,M,"('D', 'M')",1520
153,1,Huskies,Huskies_M1,Huskies_F1,1H,1246.983038,High pass,40,96,74.0,98.0,M,17,10,"(17, 10)",34,F,"('M', 'F')",849
154,1,Huskies,Huskies_M2,Huskies_G1,1H,1285.762328,Head pass,29,52,12.0,43.0,M,22,16,"(22, 16)",2,G,"('M', 'G')",45
155,1,Huskies,Huskies_G1,Huskies_M1,1H,1299.229819,High pass,12,43,44.0,81.0,G,16,17,"(16, 17)",24,M,"('G', 'M')",81
156,1,Huskies,Huskies_M1,Huskies_F2,1H,1304.927402,Simple pass,44,81,49.0,75.0,M,17,11,"(17, 11)",182,F,"('M', 'F')",849
157,1,Huskies,Huskies_F2,Huskies_D1,1H,1306.588143,Simple pass,49,75,34.0,80.0,F,11,0,"(11, 0)",55,D,"('F', 'D')",655
158,1,Huskies,Huskies_D1,Huskies_D2,1H,1308.752362,Simple pass,34,80,28.0,51.0,D,0,2,"(0, 2)",59,D,"('D', 'D')",1478
159,1,Huskies,Huskies_D2,Huskies_D3,1H,1311.029947,Simple pass,28,51,38.0,24.0,D,2,3,"(2, 3)",49,D,"('D', 'D')",1478
160,1,Huskies,Huskies_D3,Huskies_M1,1H,1314.932615,Simple pass,38,24,42.0,67.0,D,3,17,"(3, 17)",47,M,"('D', 'M')",1520
161,1,Huskies,Huskies_M1,Huskies_F2,1H,1317.2505529999999,Simple pass,42,67,54.0,92.0,M,17,11,"(17, 11)",182,F,"('M', 'F')",849
162,1,Huskies,Huskies_F2,Huskies_M1,1H,1318.781728,Simple pass,54,92,61.0,79.0,F,11,17,"(11, 17)",117,M,"('F', 'M')",699
163,1,Huskies,Huskies_F1,Huskies_F2,1H,1323.783423,Simple pass,70,98,72.0,100.0,F,10,11,"(10, 11)",27,F,"('F', 'F')",299
164,1,Huskies,Huskies_F3,Huskies_D2,1H,1336.828397,Simple pass,60,92,53.0,78.0,F,12,2,"(12, 2)",2,D,"('F', 'D')",655
165,1,Huskies,Huskies_D2,Huskies_D3,1H,1338.621719,Simple pass,53,78,61.0,18.0,D,2,3,"(2, 3)",49,D,"('D', 'D')",1478
166,1,Huskies,Huskies_D3,Huskies_M3,1H,1342.78861,Simple pass,61,18,55.0,51.0,D,3,23,"(3, 23)",54,M,"('D', 'M')",1520
167,1,Huskies,Huskies_M3,Huskies_M1,1H,1347.364783,Simple pass,55,51,51.0,68.0,M,23,17,"(23, 17)",168,M,"('M', 'M')",1301
168,1,Huskies,Huskies_M1,Huskies_D1,1H,1351.1866619999998,Simple pass,51,68,62.0,99.0,M,17,0,"(17, 0)",85,D,"('M', 'D')",1668
169,1,Huskies,Huskies_D1,Huskies_M1,1H,1355.635433,Simple pass,62,99,58.0,93.0,D,0,17,"(0, 17)",92,M,"('D', 'M')",1520
170,1,Huskies,Huskies_M1,Huskies_D2,1H,1357.802034,Simple pass,58,93,45.0,60.0,M,17,2,"(17, 2)",63,D,"('M', 'D')",1668
171,1,Huskies,Huskies_D2,Huskies_D3,1H,1360.51092,Simple pass,45,60,53.0,29.0,D,2,3,"(2, 3)",49,D,"('D', 'D')",1478
172,1,Huskies,Huskies_D3,Huskies_M2,1H,1364.5522369999999,Simple pass,53,29,65.0,22.0,D,3,22,"(3, 22)",5,M,"('D', 'M')",1520
173,1,Huskies,Huskies_M2,Huskies_M3,1H,1365.514369,Simple pass,65,22,59.0,37.0,M,22,23,"(22, 23)",12,M,"('M', 'M')",1301
174,1,Huskies,Huskies_M3,Huskies_M2,1H,1367.816744,Simple pass,60,33,57.0,23.0,M,23,22,"(23, 22)",7,M,"('M', 'M')",1301
175,1,Huskies,Huskies_M2,Huskies_M3,1H,1368.148627,Simple pass,57,23,68.0,7.0,M,22,23,"(22, 23)",12,M,"('M', 'M')",1301
176,1,Huskies,Huskies_M3,Huskies_D3,1H,1371.3607140000001,Simple pass,68,7,51.0,20.0,M,23,3,"(23, 3)",56,D,"('M', 'D')",1668
177,1,Huskies,Huskies_D3,Huskies_D2,1H,1373.937659,Simple pass,51,20,47.0,56.0,D,3,2,"(3, 2)",35,D,"('D', 'D')",1478
178,1,Huskies,Huskies_D2,Huskies_D1,1H,1377.038876,Simple pass,47,56,60.0,87.0,D,2,0,"(2, 0)",62,D,"('D', 'D')",1478
179,1,Huskies,Huskies_D1,Huskies_F1,1H,1380.185092,Simple pass,60,87,68.0,97.0,D,0,10,"(0, 10)",23,F,"('D', 'F')",999
180,1,Huskies,Huskies_F1,Huskies_D1,1H,1382.378471,Simple pass,68,97,89.0,96.0,F,10,0,"(10, 0)",5,D,"('F', 'D')",655
181,1,Huskies,Huskies_D1,Huskies_D4,1H,1384.757142,Cross,89,96,98.0,3.0,D,0,4,"(0, 4)",73,D,"('D', 'D')",1478
182,1,Huskies,Huskies_M2,Huskies_D4,1H,1480.756475,Simple pass,50,13,50.0,7.0,M,22,4,"(22, 4)",12,D,"('M', 'D')",1668
183,1,Huskies,Huskies_D4,Huskies_D3,1H,1482.4715130000002,Simple pass,50,7,39.0,15.0,D,4,3,"(4, 3)",35,D,"('D', 'D')",1478
184,1,Huskies,Huskies_F3,Huskies_D3,1H,1497.018515,Simple pass,57,10,53.0,5.0,F,12,3,"(12, 3)",3,D,"('F', 'D')",655
185,1,Huskies,Huskies_D3,Huskies_G1,1H,1539.323848,Simple pass,11,18,3.0,33.0,D,3,16,"(3, 16)",120,G,"('D', 'G')",443
186,1,Huskies,Huskies_G1,Huskies_F1,1H,1542.4603960000002,High pass,3,33,39.0,98.0,G,16,10,"(16, 10)",77,F,"('G', 'F')",133
187,1,Huskies,Huskies_F2,Huskies_M3,1H,1563.5650890000002,Simple pass,53,75,41.0,75.0,F,11,23,"(11, 23)",58,M,"('F', 'M')",699
188,1,Huskies,Huskies_M3,Huskies_D1,1H,1565.577677,Simple pass,41,75,35.0,79.0,M,23,0,"(23, 0)",74,D,"('M', 'D')",1668
189,1,Huskies,Huskies_D1,Huskies_D2,1H,1566.797006,Simple pass,35,79,31.0,47.0,D,0,2,"(0, 2)",59,D,"('D', 'D')",1478
190,1,Huskies,Huskies_D2,Huskies_D3,1H,1569.287655,Simple pass,31,47,43.0,12.0,D,2,3,"(2, 3)",49,D,"('D', 'D')",1478
191,1,Huskies,Huskies_D3,Huskies_M2,1H,1573.214242,Simple pass,43,12,61.0,17.0,D,3,22,"(3, 22)",5,M,"('D', 'M')",1520
192,1,Huskies,Huskies_M2,Huskies_D3,1H,1574.779483,Simple pass,61,17,58.0,39.0,M,22,3,"(22, 3)",3,D,"('M', 'D')",1668
193,1,Huskies,Huskies_D3,Huskies_M1,1H,1577.213654,Simple pass,58,39,47.0,71.0,D,3,17,"(3, 17)",47,M,"('D', 'M')",1520
194,1,Huskies,Huskies_M1,Huskies_M3,1H,1587.2099759999999,Simple pass,47,71,40.0,81.0,M,17,23,"(17, 23)",143,M,"('M', 'M')",1301
195,1,Huskies,Huskies_M3,Huskies_D2,1H,1589.202639,Simple pass,40,81,48.0,31.0,M,23,2,"(23, 2)",46,D,"('M', 'D')",1668
196,1,Huskies,Huskies_D2,Huskies_F2,1H,1591.554177,Simple pass,48,31,48.0,26.0,D,2,11,"(2, 11)",56,F,"('D', 'F')",999
197,1,Huskies,Huskies_F2,Huskies_D3,1H,1598.02757,Simple pass,48,26,66.0,7.0,F,11,3,"(11, 3)",56,D,"('F', 'D')",655
198,1,Huskies,Huskies_M1,Huskies_F2,1H,1633.128835,Simple pass,47,42,56.0,34.0,M,17,11,"(17, 11)",182,F,"('M', 'F')",849
199,1,Huskies,Huskies_F2,Huskies_D4,1H,1637.294235,Simple pass,71,25,80.0,5.0,F,11,4,"(11, 4)",64,D,"('F', 'D')",655
200,1,Huskies,Huskies_D4,Huskies_F2,1H,1640.147845,Simple pass,80,5,74.0,25.0,D,4,11,"(4, 11)",66,F,"('D', 'F')",999
201,1,Huskies,Huskies_G1,Huskies_D1,1H,1657.171668,Hand pass,9,27,38.0,81.0,G,16,0,"(16, 0)",76,D,"('G', 'D')",257
202,1,Huskies,Huskies_D1,Huskies_D2,1H,1665.2703609999999,Simple pass,38,81,33.0,54.0,D,0,2,"(0, 2)",59,D,"('D', 'D')",1478
203,1,Huskies,Huskies_D2,Huskies_D1,1H,1669.6422619999998,Simple pass,33,54,39.0,80.0,D,2,0,"(2, 0)",62,D,"('D', 'D')",1478
204,1,Huskies,Huskies_D1,Huskies_F2,1H,1671.45486,Simple pass,39,80,51.0,93.0,D,0,11,"(0, 11)",49,F,"('D', 'F')",999
205,1,Huskies,Huskies_F2,Huskies_D1,1H,1673.213406,Simple pass,51,93,42.0,85.0,F,11,0,"(11, 0)",55,D,"('F', 'D')",655
206,1,Huskies,Huskies_D1,Huskies_D2,1H,1677.421522,Simple pass,42,85,35.0,57.0,D,0,2,"(0, 2)",59,D,"('D', 'D')",1478
207,1,Huskies,Huskies_D2,Huskies_D3,1H,1679.747834,Simple pass,35,57,46.0,19.0,D,2,3,"(2, 3)",49,D,"('D', 'D')",1478
208,1,Huskies,Huskies_D3,Huskies_D4,1H,1683.925207,Simple pass,46,19,49.0,5.0,D,3,4,"(3, 4)",59,D,"('D', 'D')",1478
209,1,Huskies,Huskies_D4,Huskies_M3,1H,1685.5923440000001,Simple pass,49,5,55.0,18.0,D,4,23,"(4, 23)",63,M,"('D', 'M')",1520
210,1,Huskies,Huskies_M3,Huskies_M2,1H,1687.033235,Simple pass,55,18,57.0,13.0,M,23,22,"(23, 22)",7,M,"('M', 'M')",1301
211,1,Huskies,Huskies_M2,Huskies_D4,1H,1688.522032,Simple pass,57,13,50.0,6.0,M,22,4,"(22, 4)",12,D,"('M', 'D')",1668
213,1,Huskies,Huskies_M2,Huskies_F1,1H,1704.0390300000001,Simple pass,23,76,47.0,96.0,M,22,10,"(22, 10)",4,F,"('M', 'F')",849
214,1,Huskies,Huskies_M1,Huskies_M3,1H,1746.9033359999999,Simple pass,56,75,54.0,40.0,M,17,23,"(17, 23)",143,M,"('M', 'M')",1301
215,1,Huskies,Huskies_M3,Huskies_D3,1H,1750.189462,Simple pass,54,40,59.0,13.0,M,23,3,"(23, 3)",56,D,"('M', 'D')",1668
216,1,Huskies,Huskies_D3,Huskies_D2,1H,1754.896087,Simple pass,59,13,59.0,52.0,D,3,2,"(3, 2)",35,D,"('D', 'D')",1478
217,1,Huskies,Huskies_D2,Huskies_F2,1H,1757.479116,Simple pass,59,52,63.0,87.0,D,2,11,"(2, 11)",56,F,"('D', 'F')",999
224,1,Huskies,Huskies_D2,Huskies_G1,1H,1812.953534,Simple pass,9,76,8.0,51.0,D,2,16,"(2, 16)",62,G,"('D', 'G')",443
225,1,Huskies,Huskies_G1,Huskies_M1,1H,1822.710938,High pass,8,51,37.0,97.0,G,16,17,"(16, 17)",24,M,"('G', 'M')",81
226,1,Huskies,Huskies_M1,Huskies_D1,1H,1826.660725,Simple pass,37,97,23.0,88.0,M,17,0,"(17, 0)",85,D,"('M', 'D')",1668
227,1,Huskies,Huskies_D1,Huskies_D2,1H,1829.697402,Simple pass,23,88,30.0,56.0,D,0,2,"(0, 2)",59,D,"('D', 'D')",1478
228,1,Huskies,Huskies_D2,Huskies_D3,1H,1832.538832,Simple pass,30,56,32.0,15.0,D,2,3,"(2, 3)",49,D,"('D', 'D')",1478
229,1,Huskies,Huskies_D3,Huskies_M3,1H,1836.667946,Simple pass,32,15,31.0,30.0,D,3,23,"(3, 23)",54,M,"('D', 'M')",1520
230,1,Huskies,Huskies_M3,Huskies_D2,1H,1838.5589929999999,Simple pass,31,30,24.0,66.0,M,23,2,"(23, 2)",46,D,"('M', 'D')",1668
