,Unnamed: 0,MatchID,TeamID,OriginPlayerID,DestinationPlayerID,MatchPeriod,EventTime,EventSubType,EventOrigin_x,EventOrigin_y,EventDestination_x,EventDestination_y,Position,OriginPlayerIDFit,DestinationPlayerIDFit,PlayerIDFitPair,PassingBetweenPlayerCount,DestinationPosition,PositionFitPair,PassingBetweenPositionCount,dist,PositionFitPairScore,OneDevideDist,StdPassingBetweenPlayerCount,weight
10,17,1,Huskies,Huskies_D3,Huskies_G1,1H,259.61498900000004,Simple pass,19,13,12.0,38.0,D,3,16,"(16, 3)",120,G,"('D', 'G')",443,25.96150997149434,0.5,0.03851856078856727,0.6574585635359116,0.39865904144149295
11,18,1,Huskies,Huskies_D2,Huskies_D3,1H,286.49734,Simple pass,48,50,55.0,24.0,D,2,3,"(3, 2)",49,D,"('D', 'D')",1478,26.92582403567252,1.0,0.037139067635410375,0.26519337016574585,0.43411081260038537
12,19,1,Huskies,Huskies_D3,Huskies_D4,1H,288.281009,Simple pass,55,24,60.0,5.0,D,3,4,"(4, 3)",59,D,"('D', 'D')",1478,19.6468827043885,1.0,0.050898659855928764,0.32044198895027626,0.45711354960206835
13,20,1,Huskies,Huskies_D4,Huskies_D3,1H,291.122151,Simple pass,60,5,33.0,21.0,D,4,3,"(3, 4)",35,D,"('D', 'D')",1478,31.38470965295043,1.0,0.03186264939385831,0.1878453038674033,0.4065693177537539
14,21,1,Huskies,Huskies_D3,Huskies_G1,1H,294.666496,Simple pass,33,21,15.0,70.0,D,3,16,"(16, 3)",120,G,"('D', 'G')",443,52.20153254455275,0.5,0.019156525704423027,0.6574585635359116,0.3922050297467782
15,22,1,Huskies,Huskies_G1,Huskies_F1,1H,298.519487,High pass,15,70,60.0,99.0,G,16,10,"(10, 16)",77,F,"('G', 'F')",133,53.53503525729669,0.125,0.01867935633541406,0.4198895027624309,0.1878562863659483
16,24,1,Huskies,Huskies_D1,Huskies_M3,1H,325.77882999999997,Simple pass,19,98,35.0,86.0,D,0,23,"(23, 0)",51,M,"('D', 'M')",1520,20.0,0.75,0.05,0.27624309392265195,0.3587476979742173
17,25,1,Huskies,Huskies_M3,Huskies_M1,1H,329.565823,Simple pass,35,86,30.0,97.0,M,23,17,"(17, 23)",168,M,"('M', 'M')",1301,12.083045973594572,1.0,0.0827605888602368,0.9226519337016574,0.6684708408539648
18,26,1,Huskies,Huskies_M2,Huskies_D3,1H,349.65180499999997,Simple pass,47,59,47.0,27.0,M,22,3,"(3, 22)",3,D,"('M', 'D')",1668,32.0,0.25,0.03125,0.011049723756906077,0.09743324125230203
19,27,1,Huskies,Huskies_D3,Huskies_M3,1H,352.602839,Simple pass,47,27,45.0,40.0,D,3,23,"(23, 3)",54,M,"('D', 'M')",1520,13.152946437965905,0.75,0.07602859212697055,0.292817679558011,0.37294875722832715
20,28,1,Huskies,Huskies_M3,Huskies_D3,1H,354.424746,Simple pass,45,40,47.0,12.0,M,23,3,"(3, 23)",56,D,"('M', 'D')",1668,28.071337695236398,0.25,0.035623524993954825,0.30386740331491713,0.1964969761029573
21,31,1,Huskies,Huskies_G1,Huskies_D1,1H,390.709116,Hand pass,8,55,25.0,94.0,G,16,0,"(0, 16)",76,D,"('G', 'D')",257,42.5440947723653,0.5,0.02350502473611342,0.4143646408839779,0.3126232218733638
22,32,1,Huskies,Huskies_D1,Huskies_D2,1H,395.609802,Simple pass,25,94,24.0,55.0,D,0,2,"(2, 0)",59,D,"('D', 'D')",1478,39.01281840626232,1.0,0.0256326007925508,0.32044198895027626,0.4486915299142757
23,33,1,Huskies,Huskies_D2,Huskies_D3,1H,398.39209900000003,Simple pass,24,55,24.0,20.0,D,2,3,"(3, 2)",49,D,"('D', 'D')",1478,35.0,1.0,0.02857142857142857,0.26519337016574585,0.4312549329123915
24,34,1,Huskies,Huskies_D3,Huskies_M2,1H,401.473688,Simple pass,24,20,33.0,20.0,D,3,22,"(22, 3)",5,M,"('D', 'M')",1520,9.0,0.75,0.1111111111111111,0.022099447513812154,0.29440351954164107
25,35,1,Huskies,Huskies_M2,Huskies_M3,1H,402.505899,Simple pass,33,20,33.0,35.0,M,22,23,"(23, 22)",12,M,"('M', 'M')",1301,15.0,1.0,0.06666666666666667,0.06077348066298342,0.37581338244321666
26,36,1,Huskies,Huskies_M3,Huskies_D3,1H,403.23103,Simple pass,33,35,24.0,24.0,M,23,3,"(3, 23)",56,D,"('M', 'D')",1668,14.212670403551895,0.25,0.07035975447302918,0.30386740331491713,0.20807571926264876
27,37,1,Huskies,Huskies_D3,Huskies_D2,1H,405.513278,Simple pass,24,24,29.0,68.0,D,3,2,"(2, 3)",35,D,"('D', 'D')",1478,44.28317965096906,1.0,0.022581937608857242,0.1878453038674033,0.4034757471587535
28,38,1,Huskies,Huskies_D2,Huskies_D1,1H,409.39515100000006,Simple pass,29,68,25.0,88.0,D,2,0,"(0, 2)",62,D,"('D', 'D')",1478,20.396078054371138,1.0,0.04902903378454601,0.3370165745856354,0.4620152027900604
29,39,1,Huskies,Huskies_D1,Huskies_M1,1H,411.012684,Simple pass,25,88,31.0,99.0,D,0,17,"(17, 0)",92,M,"('D', 'M')",1520,12.529964086141668,0.75,0.07980868844676221,0.5027624309392266,0.44419037312866294
30,40,1,Huskies,Huskies_M1,Huskies_D1,1H,413.899208,Simple pass,31,99,27.0,88.0,M,17,0,"(0, 17)",85,D,"('M', 'D')",1668,11.704699910719626,0.25,0.0854357657716761,0.46408839779005523,0.26650805452057713
31,41,1,Huskies,Huskies_D1,Huskies_D2,1H,415.523873,Simple pass,27,88,29.0,53.0,D,0,2,"(2, 0)",59,D,"('D', 'D')",1478,35.05709628591621,1.0,0.028524895269256473,0.32044198895027626,0.44965562807317755
32,42,1,Huskies,Huskies_D2,Huskies_D3,1H,417.778381,Simple pass,29,53,37.0,14.0,D,2,3,"(3, 2)",49,D,"('D', 'D')",1478,39.81205847478876,1.0,0.025118017965166415,0.26519337016574585,0.4301037960436374
33,43,1,Huskies,Huskies_D3,Huskies_M2,1H,421.153644,Simple pass,37,14,42.0,16.0,D,3,22,"(22, 3)",5,M,"('D', 'M')",1520,5.385164807134504,0.75,0.18569533817705186,0.022099447513812154,0.3192649285636213
34,44,1,Huskies,Huskies_M2,Huskies_D2,1H,423.251583,Simple pass,42,16,36.0,54.0,M,22,2,"(2, 22)",3,D,"('M', 'D')",1668,38.47076812334269,0.25,0.02599376224550182,0.011049723756906077,0.09568116200080264
35,45,1,Huskies,Huskies_D2,Huskies_D1,1H,426.777238,Simple pass,36,54,32.0,85.0,D,2,0,"(0, 2)",62,D,"('D', 'D')",1478,31.25699921617557,1.0,0.031992834407549194,0.3370165745856354,0.45633646966439484
36,46,1,Huskies,Huskies_D1,Huskies_F2,1H,429.550573,Simple pass,32,85,59.0,67.0,D,0,11,"(11, 0)",49,F,"('D', 'F')",999,32.449961479175904,0.5,0.030816677568068284,0.26519337016574585,0.265336682577938
37,54,1,Huskies,Huskies_M3,Huskies_D1,1H,470.526751,Simple pass,38,74,23.0,81.0,M,23,0,"(0, 23)",74,D,"('M', 'D')",1668,16.55294535724685,0.25,0.0604122093330177,0.40331491712707185,0.23790904215336317
38,55,1,Huskies,Huskies_D1,Huskies_D2,1H,472.345004,Simple pass,23,81,33.0,56.0,D,0,2,"(2, 0)",59,D,"('D', 'D')",1478,26.92582403567252,1.0,0.037139067635410375,0.32044198895027626,0.4525270188618955
39,56,1,Huskies,Huskies_D2,Huskies_D3,1H,475.81912,Simple pass,33,56,31.0,16.0,D,2,3,"(3, 2)",49,D,"('D', 'D')",1478,40.049968789001575,1.0,0.024968808471946116,0.26519337016574585,0.4300540595458973
40,57,1,Huskies,Huskies_D3,Huskies_D2,1H,478.063252,Simple pass,31,16,35.0,59.0,D,3,2,"(2, 3)",35,D,"('D', 'D')",1478,43.18564576337837,1.0,0.02315584223237446,0.1878453038674033,0.4036670486999259
41,58,1,Huskies,Huskies_D2,Huskies_M3,1H,483.459683,Simple pass,35,59,37.0,42.0,D,2,23,"(23, 2)",44,M,"('D', 'M')",1520,17.11724276862369,0.75,0.0584206237836986,0.23756906077348067,0.34866322818572637
42,59,1,Huskies,Huskies_M3,Huskies_D2,1H,486.90414599999997,Simple pass,37,42,41.0,84.0,M,23,2,"(2, 23)",46,D,"('M', 'D')",1668,42.190046219457976,0.25,0.02370227315699886,0.24861878453038674,0.17410701922912852
43,60,1,Huskies,Huskies_D2,Huskies_M1,1H,488.64204600000005,Simple pass,41,84,49.0,97.0,D,2,17,"(17, 2)",46,M,"('D', 'M')",1520,15.264337522473747,0.75,0.06551217820804184,0.24861878453038674,0.3547103209128095
44,61,1,Huskies,Huskies_M1,Huskies_D1,1H,492.913649,Simple pass,49,97,40.0,86.0,M,17,0,"(0, 17)",85,D,"('M', 'D')",1668,14.212670403551895,0.25,0.07035975447302918,0.46408839779005523,0.26148271742102813
45,62,1,Huskies,Huskies_D1,Huskies_D2,1H,495.20349699999997,Simple pass,40,86,43.0,46.0,D,0,2,"(2, 0)",59,D,"('D', 'D')",1478,40.11234224026316,1.0,0.024929982747211407,0.32044198895027626,0.44845732389916254
46,63,1,Huskies,Huskies_D2,Huskies_D3,1H,499.17736900000006,Simple pass,43,46,44.0,13.0,D,2,3,"(3, 2)",49,D,"('D', 'D')",1478,33.015148038438355,1.0,0.030289126640769135,0.26519337016574585,0.431827498935505
47,76,1,Huskies,Huskies_D2,Huskies_F2,1H,634.315811,Simple pass,35,61,32.0,72.0,D,2,11,"(11, 2)",56,F,"('D', 'F')",999,11.40175425099138,0.5,0.08770580193070293,0.30386740331491713,0.2971910684152067
48,77,1,Huskies,Huskies_D1,Huskies_D3,1H,638.7163360000002,Simple pass,20,67,22.0,37.0,D,0,3,"(3, 0)",105,D,"('D', 'D')",1478,30.066592756745816,1.0,0.033259505261886965,0.574585635359116,0.535948380207001
49,78,1,Huskies,Huskies_D3,Huskies_M3,1H,644.849345,Simple pass,41,42,44.0,35.0,D,3,23,"(23, 3)",54,M,"('D', 'M')",1520,7.615773105863909,0.75,0.13130643285972254,0.292817679558011,0.3913747041392445
50,79,1,Huskies,Huskies_M3,Huskies_M2,1H,648.45343,Simple pass,44,35,58.0,25.0,M,23,22,"(22, 23)",7,M,"('M', 'M')",1301,17.204650534085253,1.0,0.05812381937190964,0.03314917127071823,0.3637576635475426
51,80,1,Huskies,Huskies_M2,Huskies_M3,1H,648.788178,Simple pass,58,25,44.0,45.0,M,22,23,"(23, 22)",12,M,"('M', 'M')",1301,24.413111231467404,1.0,0.04096159602595203,0.06077348066298342,0.36724502556297844
52,81,1,Huskies,Huskies_M3,Huskies_D1,1H,654.2725469999998,Simple pass,44,45,45.0,88.0,M,23,0,"(0, 23)",74,D,"('M', 'D')",1668,43.01162633521314,0.25,0.023249527748763855,0.40331491712707185,0.22552148162527855
53,82,1,Huskies,Huskies_D1,Huskies_M1,1H,656.786591,Simple pass,45,88,46.0,66.0,D,0,17,"(17, 0)",92,M,"('D', 'M')",1520,22.02271554554524,0.75,0.045407660918649985,0.5027624309392266,0.4327233639526255
54,83,1,Huskies,Huskies_M1,Huskies_D2,1H,658.984182,Simple pass,46,66,35.0,53.0,M,17,2,"(2, 17)",63,D,"('M', 'D')",1668,17.029386365926403,0.25,0.058722021951470346,0.3425414364640884,0.2170878194718529
55,84,1,Huskies,Huskies_D2,Huskies_D3,1H,660.927154,Simple pass,35,53,36.0,26.0,D,2,3,"(3, 2)",49,D,"('D', 'D')",1478,27.018512172212592,1.0,0.037011660509880265,0.26519337016574585,0.434068343558542
56,85,1,Huskies,Huskies_D3,Huskies_D4,1H,662.816659,Simple pass,36,26,44.0,9.0,D,3,4,"(4, 3)",59,D,"('D', 'D')",1478,18.788294228055936,1.0,0.05322462954123495,0.32044198895027626,0.4578888728305037
57,86,1,Huskies,Huskies_D4,Huskies_D3,1H,664.192536,Simple pass,44,9,29.0,28.0,D,4,3,"(3, 4)",35,D,"('D', 'D')",1478,24.20743687382041,1.0,0.04130961923860138,0.1878453038674033,0.40971830770200157
58,87,1,Huskies,Huskies_D3,Huskies_D1,1H,666.3982990000002,Simple pass,29,28,30.0,88.0,D,3,0,"(0, 3)",98,D,"('D', 'D')",1478,60.00833275470999,1.0,0.016664352333993333,0.5359116022099447,0.5175253181813126
59,88,1,Huskies,Huskies_D1,Huskies_M1,1H,670.794207,Simple pass,30,88,54.0,98.0,D,0,17,"(17, 0)",92,M,"('D', 'M')",1520,26.0,0.75,0.038461538461538464,0.5027624309392266,0.430407989800255
60,89,1,Huskies,Huskies_M1,Huskies_D1,1H,672.4853889999998,Simple pass,54,98,40.0,88.0,M,17,0,"(0, 17)",85,D,"('M', 'D')",1668,17.204650534085253,0.25,0.05812381937190964,0.46408839779005523,0.2574040723873216
61,90,1,Huskies,Huskies_D1,Huskies_D2,1H,677.030895,Simple pass,40,88,39.0,58.0,D,0,2,"(2, 0)",59,D,"('D', 'D')",1478,30.01666203960727,1.0,0.03331483023263848,0.32044198895027626,0.45125227306097154
62,91,1,Huskies,Huskies_D2,Huskies_D3,1H,679.627443,Simple pass,39,58,42.0,22.0,D,2,3,"(3, 2)",49,D,"('D', 'D')",1478,36.124783736376884,1.0,0.027681826617913324,0.26519337016574585,0.43095839892788634
63,92,1,Huskies,Huskies_D3,Huskies_D4,1H,681.346038,Simple pass,42,22,45.0,7.0,D,3,4,"(4, 3)",59,D,"('D', 'D')",1478,15.297058540778355,1.0,0.06537204504606134,0.32044198895027626,0.4619380113321125
64,96,1,Huskies,Huskies_M2,Huskies_D4,1H,717.476578,Simple pass,88,10,94.0,5.0,M,22,4,"(4, 22)",12,D,"('M', 'D')",1668,7.810249675906654,0.25,0.12803687993289598,0.06077348066298342,0.14627012019862645
65,97,1,Huskies,Huskies_D4,Huskies_M2,1H,719.441687,Simple pass,94,5,82.0,5.0,D,4,22,"(22, 4)",9,M,"('D', 'M')",1520,12.0,0.75,0.08333333333333333,0.04419889502762431,0.2925107427869859
66,98,1,Huskies,Huskies_M3,Huskies_D3,1H,763.935874,Simple pass,31,4,26.0,15.0,M,23,3,"(3, 23)",56,D,"('M', 'D')",1668,12.083045973594572,0.25,0.0827605888602368,0.30386740331491713,0.2122093307250513
67,99,1,Huskies,Huskies_D3,Huskies_D2,1H,766.375013,Simple pass,26,15,28.0,46.0,D,3,2,"(2, 3)",35,D,"('D', 'D')",1478,31.064449134018133,1.0,0.03219113899898252,0.1878453038674033,0.40667881428879527
68,100,1,Huskies,Huskies_D2,Huskies_D1,1H,768.9595059999998,Simple pass,28,46,27.0,75.0,D,2,0,"(0, 2)",62,D,"('D', 'D')",1478,29.017236257093817,1.0,0.03446227583977888,0.3370165745856354,0.4571596168084714
69,101,1,Huskies,Huskies_M1,Huskies_F2,1H,831.334785,Simple pass,20,54,23.0,63.0,M,17,11,"(11, 17)",182,F,"('M', 'F')",849,9.486832980505138,0.25,0.10540925533894598,1.0,0.45180308511298195
70,102,1,Huskies,Huskies_F2,Huskies_F1,1H,833.172272,Head pass,23,63,31.0,97.0,F,11,10,"(10, 11)",30,F,"('F', 'F')",299,34.92849839314596,1.0,0.028629916715693413,0.16022099447513813,0.39628363706361047
71,103,1,Huskies,Huskies_F3,Huskies_M2,1H,876.588559,Simple pass,41,13,37.0,25.0,F,12,22,"(22, 12)",1,M,"('F', 'M')",699,12.649110640673518,0.75,0.07905694150420949,0.0,0.2763523138347365
72,104,1,Huskies,Huskies_M2,Huskies_F3,1H,877.617215,Simple pass,37,25,44.0,11.0,M,22,12,"(12, 22)",2,F,"('M', 'F')",849,15.652475842498529,0.25,0.06388765649999399,0.0055248618784530384,0.10647083945948232
73,105,1,Huskies,Huskies_D3,Huskies_F3,1H,888.4075290000003,High pass,43,40,76.0,8.0,D,3,12,"(12, 3)",1,F,"('D', 'F')",999,45.967379738244816,0.5,0.02175455737730469,0.0,0.1739181857924349
74,108,1,Huskies,Huskies_D1,Huskies_F3,1H,918.981968,Simple pass,29,79,54.0,51.0,D,0,12,"(12, 0)",5,F,"('D', 'F')",999,37.53664875824692,0.5,0.026640630772354096,0.022099447513812154,0.18291335942872208
75,109,1,Huskies,Huskies_D2,Huskies_D1,1H,940.147302,Simple pass,28,49,27.0,80.0,D,2,0,"(0, 2)",62,D,"('D', 'D')",1478,31.016124838541646,1.0,0.03224129401095805,0.3370165745856354,0.4564192895321978
76,113,1,Huskies,Huskies_M2,Huskies_D2,1H,977.642684,Simple pass,36,73,27.0,85.0,M,22,2,"(2, 22)",3,D,"('M', 'D')",1668,15.0,0.25,0.06666666666666667,0.011049723756906077,0.10923879680785757
77,132,1,Huskies,Huskies_D3,Huskies_G1,1H,1080.525643,Simple pass,15,18,13.0,45.0,D,3,16,"(16, 3)",120,G,"('D', 'G')",443,27.073972741361768,0.5,0.036935842757655886,0.6574585635359116,0.3981314687645225
78,133,1,Huskies,Huskies_G1,Huskies_M1,1H,1083.673768,High pass,13,45,39.0,97.0,G,16,17,"(17, 16)",24,M,"('G', 'M')",81,58.137767414994535,0.25,0.017200522903844537,0.1270718232044199,0.13142411536942147
79,134,1,Huskies,Huskies_M1,Huskies_D1,1H,1086.548868,Head pass,39,97,31.0,77.0,M,17,0,"(0, 17)",85,D,"('M', 'D')",1668,21.540659228538015,0.25,0.046423834544262965,0.46408839779005523,0.2535040774447727
80,135,1,Huskies,Huskies_D1,Huskies_M3,1H,1088.3517,Simple pass,31,77,33.0,47.0,D,0,23,"(23, 0)",51,M,"('D', 'M')",1520,30.066592756745816,0.75,0.033259505261886965,0.27624309392265195,0.35316753306151294
81,136,1,Huskies,Huskies_M3,Huskies_D3,1H,1092.1348460000004,Simple pass,33,47,29.0,12.0,M,23,3,"(3, 23)",56,D,"('M', 'D')",1668,35.22782990761707,0.25,0.02838664779018298,0.30386740331491713,0.1940846837017
82,137,1,Huskies,Huskies_D3,Huskies_D4,1H,1098.1089,Simple pass,71,8,72.0,7.0,D,3,4,"(4, 3)",59,D,"('D', 'D')",1478,1.4142135623730951,1.0,0.7071067811865475,0.32044198895027626,0.6758495900456079
83,138,1,Huskies,Huskies_D3,Huskies_D1,1H,1114.347374,Simple pass,58,8,41.0,73.0,D,3,0,"(0, 3)",98,D,"('D', 'D')",1478,67.1863081289633,1.0,0.014883984964325055,0.5359116022099447,0.5169318623914232
84,139,1,Huskies,Huskies_M3,Huskies_M1,1H,1124.0566210000004,Simple pass,62,62,62.0,72.0,M,23,17,"(17, 23)",168,M,"('M', 'M')",1301,10.0,1.0,0.1,0.9226519337016574,0.6742173112338858
85,140,1,Huskies,Huskies_M1,Huskies_F2,1H,1128.904817,Simple pass,62,72,70.0,78.0,M,17,11,"(11, 17)",182,F,"('M', 'F')",849,10.0,0.25,0.1,1.0,0.44999999999999996
86,141,1,Huskies,Huskies_F2,Huskies_M1,1H,1129.81297,Simple pass,70,78,74.0,60.0,F,11,17,"(17, 11)",117,M,"('F', 'M')",699,18.439088914585774,0.75,0.05423261445466404,0.6408839779005525,0.48170553078507217
87,142,1,Huskies,Huskies_M1,Huskies_F1,1H,1145.628269,Simple pass,65,96,70.0,98.0,M,17,10,"(10, 17)",34,F,"('M', 'F')",849,5.385164807134504,0.25,0.18569533817705186,0.18232044198895028,0.20600526005533404
88,143,1,Huskies,Huskies_F1,Huskies_F2,1H,1148.4961050000004,Simple pass,70,98,68.0,83.0,F,10,11,"(11, 10)",27,F,"('F', 'F')",299,15.132745950421556,1.0,0.06608186004550898,0.143646408839779,0.403242756295096
89,144,1,Huskies,Huskies_F2,Huskies_D3,1H,1150.556157,Simple pass,68,83,66.0,38.0,F,11,3,"(3, 11)",56,D,"('F', 'D')",655,45.044422518220834,0.5,0.02220030681036019,0.30386740331491713,0.2753559033750924
90,145,1,Huskies,Huskies_D3,Huskies_D4,1H,1154.053777,Simple pass,66,38,79.0,4.0,D,3,4,"(4, 3)",59,D,"('D', 'D')",1478,36.40054944640259,1.0,0.027472112789737803,0.32044198895027626,0.44930470058000466
91,146,1,Huskies,Huskies_M2,Huskies_M1,1H,1184.199743,Simple pass,70,8,65.0,61.0,M,22,17,"(17, 22)",6,M,"('M', 'M')",1301,53.23532661682466,1.0,0.018784518919133613,0.027624309392265192,0.34880294277046625
92,149,1,Huskies,Huskies_M3,Huskies_D4,1H,1234.888756,Simple pass,28,19,19.0,5.0,M,23,4,"(4, 23)",88,D,"('M', 'D')",1668,16.64331697709324,0.25,0.06008417681261097,0.48066298342541436,0.2635823867460084
93,150,1,Huskies,Huskies_D4,Huskies_D2,1H,1237.056443,Simple pass,19,5,21.0,39.0,D,4,2,"(2, 4)",30,D,"('D', 'D')",1478,34.058772731852805,1.0,0.029361010975735173,0.16022099447513813,0.39652733515029104
94,151,1,Huskies,Huskies_D2,Huskies_D1,1H,1240.195071,Simple pass,21,39,27.0,76.0,D,2,0,"(0, 2)",62,D,"('D', 'D')",1478,37.48332962798263,1.0,0.026678526425610406,0.3370165745856354,0.45456503367041523
95,152,1,Huskies,Huskies_D1,Huskies_M1,1H,1243.277878,Simple pass,27,76,40.0,96.0,D,0,17,"(17, 0)",92,M,"('D', 'M')",1520,23.853720883753127,0.75,0.04192218081503185,0.5027624309392266,0.4315615372514195
96,153,1,Huskies,Huskies_M1,Huskies_F1,1H,1246.983038,High pass,40,96,74.0,98.0,M,17,10,"(10, 17)",34,F,"('M', 'F')",849,34.058772731852805,0.25,0.029361010975735173,0.18232044198895028,0.15389381765489513
97,154,1,Huskies,Huskies_M2,Huskies_G1,1H,1285.762328,Head pass,29,52,12.0,43.0,M,22,16,"(16, 22)",2,G,"('M', 'G')",45,19.235384061671343,0.75,0.05198752449100364,0.0055248618784530384,0.26917079545648553
98,155,1,Huskies,Huskies_G1,Huskies_M1,1H,1299.229819,High pass,12,43,44.0,81.0,G,16,17,"(17, 16)",24,M,"('G', 'M')",81,49.678969393496885,0.25,0.020129242055711864,0.1270718232044199,0.13240035508671058
99,156,1,Huskies,Huskies_M1,Huskies_F2,1H,1304.927402,Simple pass,44,81,49.0,75.0,M,17,11,"(11, 17)",182,F,"('M', 'F')",849,7.810249675906654,0.25,0.12803687993289598,1.0,0.4593456266442986
100,157,1,Huskies,Huskies_F2,Huskies_D1,1H,1306.588143,Simple pass,49,75,34.0,80.0,F,11,0,"(0, 11)",55,D,"('F', 'D')",655,15.811388300841896,0.5,0.06324555320336758,0.2983425414364641,0.28719603154661055
101,158,1,Huskies,Huskies_D1,Huskies_D2,1H,1308.752362,Simple pass,34,80,28.0,51.0,D,0,2,"(2, 0)",59,D,"('D', 'D')",1478,29.614185789921695,1.0,0.033767600672658715,0.32044198895027626,0.4514031965409783
102,159,1,Huskies,Huskies_D2,Huskies_D3,1H,1311.029947,Simple pass,28,51,38.0,24.0,D,2,3,"(3, 2)",49,D,"('D', 'D')",1478,28.792360097775937,1.0,0.034731435582359395,0.26519337016574585,0.4333082685827017
103,160,1,Huskies,Huskies_D3,Huskies_M1,1H,1314.932615,Simple pass,38,24,42.0,67.0,D,3,17,"(17, 3)",47,M,"('D', 'M')",1520,43.18564576337837,0.75,0.02315584223237446,0.2541436464088398,0.34243316288040476
104,161,1,Huskies,Huskies_M1,Huskies_F2,1H,1317.250553,Simple pass,42,67,54.0,92.0,M,17,11,"(11, 17)",182,F,"('M', 'F')",849,27.730849247724095,0.25,0.036060922298730945,1.0,0.42868697409957696
105,162,1,Huskies,Huskies_F2,Huskies_M1,1H,1318.781728,Simple pass,54,92,61.0,79.0,F,11,17,"(17, 11)",117,M,"('F', 'M')",699,14.7648230602334,0.75,0.06772854614785964,0.6408839779005525,0.4862041746828041
106,163,1,Huskies,Huskies_F1,Huskies_F2,1H,1323.783423,Simple pass,70,98,72.0,100.0,F,10,11,"(11, 10)",27,F,"('F', 'F')",299,2.8284271247461903,1.0,0.35355339059327373,0.143646408839779,0.49906659981101753
107,164,1,Huskies,Huskies_F3,Huskies_D2,1H,1336.828397,Simple pass,60,92,53.0,78.0,F,12,2,"(2, 12)",2,D,"('F', 'D')",655,15.652475842498529,0.5,0.06388765649999399,0.0055248618784530384,0.18980417279281567
108,165,1,Huskies,Huskies_D2,Huskies_D3,1H,1338.621719,Simple pass,53,78,61.0,18.0,D,2,3,"(3, 2)",49,D,"('D', 'D')",1478,60.530983801686226,1.0,0.016520465011377244,0.26519337016574585,0.427237945059041
109,166,1,Huskies,Huskies_D3,Huskies_M3,1H,1342.78861,Simple pass,61,18,55.0,51.0,D,3,23,"(23, 3)",54,M,"('D', 'M')",1520,33.54101966249684,0.75,0.0298142396999972,0.292817679558011,0.3575439730860027
110,167,1,Huskies,Huskies_M3,Huskies_M1,1H,1347.364783,Simple pass,55,51,51.0,68.0,M,23,17,"(17, 23)",168,M,"('M', 'M')",1301,17.46424919657298,1.0,0.057259833431386825,0.9226519337016574,0.6599705890443481
