,Unnamed: 0,Unnamed: 0.1,MatchID,TeamID,OriginPlayerID,DestinationPlayerID,MatchPeriod,EventTime,EventSubType,EventOrigin_x,EventOrigin_y,EventDestination_x,EventDestination_y,Position,OriginPlayerIDFit,DestinationPlayerIDFit,PlayerIDFitPair,PassingBetweenPlayerCount,DestinationPosition,PositionFitPair,PassingBetweenPositionCount,dist,PositionFitPairScore,OneDevideDist,StdPassingBetweenPlayerCount,weight,OutCount,InCount
10,10,17,1,Huskies,Huskies_D3,Huskies_G1,1H,259.61498900000004,Simple pass,19,13,12.0,38.0,D,3,16,"(16, 3)",120,G,"('D', 'G')",443,25.96150997149434,0.5,0.03851856078856727,0.6574585635359116,0.3989407062980976,727,496
11,11,18,1,Huskies,Huskies_D2,Huskies_D3,1H,286.49734,Simple pass,48,50,55.0,24.0,D,2,3,"(3, 2)",49,D,"('D', 'D')",1478,26.925824035672523,1.0,0.037139067635410375,0.26519337016574585,0.43398821703240853,580,582
12,12,19,1,Huskies,Huskies_D3,Huskies_D4,1H,288.281009,Simple pass,55,24,60.0,5.0,D,3,4,"(4, 3)",59,D,"('D', 'D')",1478,19.6468827043885,1.0,0.05089865985592877,0.32044198895027626,0.45969111716637123,727,615
13,13,20,1,Huskies,Huskies_D4,Huskies_D3,1H,291.122151,Simple pass,60,5,33.0,21.0,D,4,3,"(3, 4)",35,D,"('D', 'D')",1478,31.38470965295043,1.0,0.031862649393858314,0.1878453038674033,0.4134484504185936,569,582
14,14,21,1,Huskies,Huskies_D3,Huskies_G1,1H,294.666496,Simple pass,33,21,15.0,70.0,D,3,16,"(16, 3)",120,G,"('D', 'G')",443,52.20153254455275,0.5,0.019156525704423027,0.6574585635359116,0.3989407062980976,727,496
15,15,22,1,Huskies,Huskies_G1,Huskies_F1,1H,298.519487,High pass,15,70,60.0,99.0,G,16,10,"(10, 16)",77,F,"('G', 'F')",133,53.535035257296684,0.125,0.01867935633541406,0.4198895027624309,0.18734192337191422,473,473
16,16,24,1,Huskies,Huskies_D1,Huskies_M3,1H,325.77883,Simple pass,19,98,35.0,86.0,D,0,23,"(23, 0)",51,M,"('D', 'M')",1520,20.0,0.75,0.05,0.27624309392265195,0.36284898704161533,851,717
17,17,25,1,Huskies,Huskies_M3,Huskies_M1,1H,329.565823,Simple pass,35,86,30.0,97.0,M,23,17,"(17, 23)",168,M,"('M', 'M')",1301,12.083045973594572,1.0,0.0827605888602368,0.9226519337016574,0.6635668458030811,887,1017
18,18,26,1,Huskies,Huskies_M2,Huskies_D3,1H,349.651805,Simple pass,47,59,47.0,27.0,M,22,3,"(3, 22)",3,D,"('M', 'D')",1668,32.0,0.25,0.03125,0.011049723756906077,0.09952076420683816,76,582
19,19,27,1,Huskies,Huskies_D3,Huskies_M3,1H,352.602839,Simple pass,47,27,45.0,40.0,D,3,23,"(23, 3)",54,M,"('D', 'M')",1520,13.152946437965904,0.75,0.07602859212697055,0.29281767955801097,0.3746212929952345,727,717
20,20,28,1,Huskies,Huskies_M3,Huskies_D3,1H,354.42474599999997,Simple pass,45,40,47.0,12.0,M,23,3,"(3, 23)",56,D,"('M', 'D')",1668,28.071337695236398,0.25,0.035623524993954825,0.30386740331491713,0.2030083936968661,887,582
21,21,31,1,Huskies,Huskies_G1,Huskies_D1,1H,390.709116,Hand pass,8,55,25.0,94.0,G,16,0,"(0, 16)",76,D,"('G', 'D')",257,42.5440947723653,0.5,0.02350502473611342,0.4143646408839779,0.3176955831493369,473,678
22,22,32,1,Huskies,Huskies_D1,Huskies_D2,1H,395.609802,Simple pass,25,94,24.0,55.0,D,0,2,"(2, 0)",59,D,"('D', 'D')",1478,39.01281840626232,1.0,0.0256326007925508,0.32044198895027626,0.4578013677983789,851,467
23,23,33,1,Huskies,Huskies_D2,Huskies_D3,1H,398.392099,Simple pass,24,55,24.0,20.0,D,2,3,"(3, 2)",49,D,"('D', 'D')",1478,35.0,1.0,0.028571428571428567,0.26519337016574585,0.43398821703240853,580,582
24,24,34,1,Huskies,Huskies_D3,Huskies_M2,1H,401.473688,Simple pass,24,20,33.0,20.0,D,3,22,"(22, 3)",5,M,"('D', 'M')",1520,9.0,0.75,0.1111111111111111,0.022099447513812157,0.28841948637059184,727,69
25,25,35,1,Huskies,Huskies_M2,Huskies_M3,1H,402.505899,Simple pass,33,20,33.0,35.0,M,22,23,"(23, 22)",12,M,"('M', 'M')",1301,15.0,1.0,0.06666666666666668,0.06077348066298342,0.3826670141224579,76,717
26,26,36,1,Huskies,Huskies_M3,Huskies_D3,1H,403.23103,Simple pass,33,35,24.0,24.0,M,23,3,"(3, 23)",56,D,"('M', 'D')",1668,14.212670403551895,0.25,0.07035975447302918,0.30386740331491713,0.2030083936968661,887,582
27,27,37,1,Huskies,Huskies_D3,Huskies_D2,1H,405.51327799999996,Simple pass,24,24,29.0,68.0,D,3,2,"(2, 3)",35,D,"('D', 'D')",1478,44.28317965096907,1.0,0.022581937608857242,0.1878453038674033,0.40900300766315617,727,467
28,28,38,1,Huskies,Huskies_D2,Huskies_D1,1H,409.39515100000006,Simple pass,29,68,25.0,88.0,D,2,0,"(0, 2)",62,D,"('D', 'D')",1478,20.396078054371138,1.0,0.04902903378454601,0.3370165745856354,0.45812201470185776,580,678
29,29,39,1,Huskies,Huskies_D1,Huskies_M1,1H,411.012684,Simple pass,25,88,31.0,99.0,D,0,17,"(17, 0)",92,M,"('D', 'M')",1520,12.529964086141668,0.75,0.07980868844676221,0.5027624309392266,0.44089306920203775,851,1017
30,30,40,1,Huskies,Huskies_M1,Huskies_D1,1H,413.899208,Simple pass,31,99,27.0,88.0,M,17,0,"(0, 17)",85,D,"('M', 'D')",1668,11.704699910719626,0.25,0.0854357657716761,0.4640883977900552,0.2570323265472936,1255,678
31,31,41,1,Huskies,Huskies_D1,Huskies_D2,1H,415.523873,Simple pass,27,88,29.0,53.0,D,0,2,"(2, 0)",59,D,"('D', 'D')",1478,35.05709628591621,1.0,0.028524895269256476,0.32044198895027626,0.4578013677983789,851,467
32,32,42,1,Huskies,Huskies_D2,Huskies_D3,1H,417.778381,Simple pass,29,53,37.0,14.0,D,2,3,"(3, 2)",49,D,"('D', 'D')",1478,39.812058474788756,1.0,0.02511801796516641,0.26519337016574585,0.43398821703240853,580,582
33,33,43,1,Huskies,Huskies_D3,Huskies_M2,1H,421.15364400000004,Simple pass,37,14,42.0,16.0,D,3,22,"(22, 3)",5,M,"('D', 'M')",1520,5.385164807134505,0.75,0.18569533817705186,0.022099447513812157,0.28841948637059184,727,69
34,34,44,1,Huskies,Huskies_M2,Huskies_D2,1H,423.251583,Simple pass,42,16,36.0,54.0,M,22,2,"(2, 22)",3,D,"('M', 'D')",1668,38.47076812334269,0.25,0.02599376224550182,0.011049723756906077,0.10124054880469047,76,467
35,35,45,1,Huskies,Huskies_D2,Huskies_D1,1H,426.777238,Simple pass,36,54,32.0,85.0,D,2,0,"(0, 2)",62,D,"('D', 'D')",1478,31.256999216175572,1.0,0.031992834407549194,0.3370165745856354,0.45812201470185776,580,678
36,36,46,1,Huskies,Huskies_D1,Huskies_F2,1H,429.55057300000004,Simple pass,32,85,59.0,67.0,D,0,11,"(11, 0)",49,F,"('D', 'F')",999,32.449961479175904,0.5,0.03081667756806828,0.26519337016574585,0.27734955359193797,851,927
37,37,54,1,Huskies,Huskies_M3,Huskies_D1,1H,470.526751,Simple pass,38,74,23.0,81.0,M,23,0,"(0, 23)",74,D,"('M', 'D')",1668,16.55294535724685,0.25,0.0604122093330177,0.4033149171270719,0.23693348531584818,887,678
38,38,55,1,Huskies,Huskies_D1,Huskies_D2,1H,472.345004,Simple pass,23,81,33.0,56.0,D,0,2,"(2, 0)",59,D,"('D', 'D')",1478,26.925824035672523,1.0,0.037139067635410375,0.32044198895027626,0.4578013677983789,851,467
39,39,56,1,Huskies,Huskies_D2,Huskies_D3,1H,475.81912,Simple pass,33,56,31.0,16.0,D,2,3,"(3, 2)",49,D,"('D', 'D')",1478,40.04996878900158,1.0,0.02496880847194612,0.26519337016574585,0.43398821703240853,580,582
40,40,57,1,Huskies,Huskies_D3,Huskies_D2,1H,478.063252,Simple pass,31,16,35.0,59.0,D,3,2,"(2, 3)",35,D,"('D', 'D')",1478,43.18564576337836,1.0,0.02315584223237446,0.1878453038674033,0.40900300766315617,727,467
41,41,58,1,Huskies,Huskies_D2,Huskies_M3,1H,483.459683,Simple pass,35,59,37.0,42.0,D,2,23,"(23, 2)",44,M,"('D', 'M')",1520,17.11724276862369,0.75,0.0584206237836986,0.2375690607734807,0.34960067272733436,580,717
42,42,59,1,Huskies,Huskies_M3,Huskies_D2,1H,486.904146,Simple pass,37,42,41.0,84.0,M,23,2,"(2, 23)",46,D,"('M', 'D')",1668,42.190046219457976,0.25,0.023702273156998858,0.24861878453038674,0.183600058671047,887,467
43,43,60,1,Huskies,Huskies_D2,Huskies_M1,1H,488.64204600000005,Simple pass,41,84,49.0,97.0,D,2,17,"(17, 2)",46,M,"('D', 'M')",1520,15.264337522473747,0.75,0.06551217820804184,0.24861878453038674,0.3631429840214856,580,1017
44,44,61,1,Huskies,Huskies_M1,Huskies_D1,1H,492.913649,Simple pass,49,97,40.0,86.0,M,17,0,"(0, 17)",85,D,"('M', 'D')",1668,14.212670403551895,0.25,0.07035975447302918,0.4640883977900552,0.2570323265472936,1255,678
45,45,62,1,Huskies,Huskies_D1,Huskies_D2,1H,495.203497,Simple pass,40,86,43.0,46.0,D,0,2,"(2, 0)",59,D,"('D', 'D')",1478,40.11234224026316,1.0,0.02492998274721141,0.32044198895027626,0.4578013677983789,851,467
46,46,63,1,Huskies,Huskies_D2,Huskies_D3,1H,499.17736900000006,Simple pass,43,46,44.0,13.0,D,2,3,"(3, 2)",49,D,"('D', 'D')",1478,33.015148038438355,1.0,0.030289126640769132,0.26519337016574585,0.43398821703240853,580,582
47,47,76,1,Huskies,Huskies_D2,Huskies_F2,1H,634.315811,Simple pass,35,61,32.0,72.0,D,2,11,"(11, 2)",56,F,"('D', 'F')",999,11.401754250991381,0.5,0.08770580193070293,0.30386740331491713,0.2894483385581742,580,927
48,48,77,1,Huskies,Huskies_D1,Huskies_D3,1H,638.7163360000002,Simple pass,20,67,22.0,37.0,D,0,3,"(3, 0)",105,D,"('D', 'D')",1478,30.066592756745816,1.0,0.033259505261886965,0.574585635359116,0.5362095369398633,851,582
49,49,78,1,Huskies,Huskies_D3,Huskies_M3,1H,644.849345,Simple pass,41,42,44.0,35.0,D,3,23,"(23, 3)",54,M,"('D', 'M')",1520,7.6157731058639095,0.75,0.13130643285972254,0.29281767955801097,0.3746212929952345,727,717
50,50,79,1,Huskies,Huskies_M3,Huskies_M2,1H,648.45343,Simple pass,44,35,58.0,25.0,M,23,22,"(22, 23)",7,M,"('M', 'M')",1301,17.204650534085253,1.0,0.058123819371909635,0.03314917127071823,0.3759720085883779,887,69
51,51,80,1,Huskies,Huskies_M2,Huskies_M3,1H,648.788178,Simple pass,58,25,44.0,45.0,M,22,23,"(23, 22)",12,M,"('M', 'M')",1301,24.413111231467404,1.0,0.04096159602595203,0.06077348066298342,0.3826670141224579,76,717
52,52,81,1,Huskies,Huskies_M3,Huskies_D1,1H,654.2725469999998,Simple pass,44,45,45.0,88.0,M,23,0,"(0, 23)",74,D,"('M', 'D')",1668,43.01162633521314,0.25,0.023249527748763852,0.4033149171270719,0.23693348531584818,887,678
53,53,82,1,Huskies,Huskies_D1,Huskies_M1,1H,656.786591,Simple pass,45,88,46.0,66.0,D,0,17,"(17, 0)",92,M,"('D', 'M')",1520,22.02271554554524,0.75,0.04540766091864999,0.5027624309392266,0.44089306920203775,851,1017
54,54,83,1,Huskies,Huskies_M1,Huskies_D2,1H,658.984182,Simple pass,46,66,35.0,53.0,M,17,2,"(2, 17)",63,D,"('M', 'D')",1668,17.029386365926403,0.25,0.05872202195147035,0.3425414364640884,0.21555656720076968,1255,467
55,55,84,1,Huskies,Huskies_D2,Huskies_D3,1H,660.927154,Simple pass,35,53,36.0,26.0,D,2,3,"(3, 2)",49,D,"('D', 'D')",1478,27.018512172212592,1.0,0.037011660509880265,0.26519337016574585,0.43398821703240853,580,582
56,56,85,1,Huskies,Huskies_D3,Huskies_D4,1H,662.816659,Simple pass,36,26,44.0,9.0,D,3,4,"(4, 3)",59,D,"('D', 'D')",1478,18.788294228055932,1.0,0.05322462954123495,0.32044198895027626,0.45969111716637123,727,615
57,57,86,1,Huskies,Huskies_D4,Huskies_D3,1H,664.192536,Simple pass,44,9,29.0,28.0,D,4,3,"(3, 4)",35,D,"('D', 'D')",1478,24.20743687382041,1.0,0.04130961923860138,0.1878453038674033,0.4134484504185936,569,582
58,58,87,1,Huskies,Huskies_D3,Huskies_D1,1H,666.3982990000002,Simple pass,29,28,30.0,88.0,D,3,0,"(0, 3)",98,D,"('D', 'D')",1478,60.00833275470999,1.0,0.01666435233399333,0.5359116022099447,0.5226345059536361,727,678
59,59,88,1,Huskies,Huskies_D1,Huskies_M1,1H,670.794207,Simple pass,30,88,54.0,98.0,D,0,17,"(17, 0)",92,M,"('D', 'M')",1520,26.0,0.75,0.038461538461538464,0.5027624309392266,0.44089306920203775,851,1017
60,60,89,1,Huskies,Huskies_M1,Huskies_D1,1H,672.4853889999998,Simple pass,54,98,40.0,88.0,M,17,0,"(0, 17)",85,D,"('M', 'D')",1668,17.204650534085253,0.25,0.058123819371909635,0.4640883977900552,0.2570323265472936,1255,678
61,61,90,1,Huskies,Huskies_D1,Huskies_D2,1H,677.030895,Simple pass,40,88,39.0,58.0,D,0,2,"(2, 0)",59,D,"('D', 'D')",1478,30.01666203960727,1.0,0.03331483023263848,0.32044198895027626,0.4578013677983789,851,467
62,62,91,1,Huskies,Huskies_D2,Huskies_D3,1H,679.627443,Simple pass,39,58,42.0,22.0,D,2,3,"(3, 2)",49,D,"('D', 'D')",1478,36.124783736376884,1.0,0.027681826617913324,0.26519337016574585,0.43398821703240853,580,582
63,63,92,1,Huskies,Huskies_D3,Huskies_D4,1H,681.346038,Simple pass,42,22,45.0,7.0,D,3,4,"(4, 3)",59,D,"('D', 'D')",1478,15.297058540778355,1.0,0.06537204504606134,0.32044198895027626,0.45969111716637123,727,615
64,64,96,1,Huskies,Huskies_M2,Huskies_D4,1H,717.476578,Simple pass,88,10,94.0,5.0,M,22,4,"(4, 22)",12,D,"('M', 'D')",1668,7.810249675906653,0.25,0.12803687993289598,0.06077348066298342,0.13020246539826186,76,615
65,65,97,1,Huskies,Huskies_D4,Huskies_M2,1H,719.441687,Simple pass,94,5,82.0,5.0,D,4,22,"(22, 4)",9,M,"('D', 'M')",1520,12.0,0.75,0.08333333333333333,0.044198895027624314,0.28551261216837687,569,69
66,66,98,1,Huskies,Huskies_M3,Huskies_D3,1H,763.935874,Simple pass,31,4,26.0,15.0,M,23,3,"(3, 23)",56,D,"('M', 'D')",1668,12.083045973594572,0.25,0.0827605888602368,0.30386740331491713,0.2030083936968661,887,582
67,67,99,1,Huskies,Huskies_D3,Huskies_D2,1H,766.375013,Simple pass,26,15,28.0,46.0,D,3,2,"(2, 3)",35,D,"('D', 'D')",1478,31.06444913401813,1.0,0.032191138998982516,0.1878453038674033,0.40900300766315617,727,467
68,68,100,1,Huskies,Huskies_D2,Huskies_D1,1H,768.9595059999997,Simple pass,28,46,27.0,75.0,D,2,0,"(0, 2)",62,D,"('D', 'D')",1478,29.017236257093817,1.0,0.03446227583977888,0.3370165745856354,0.45812201470185776,580,678
69,69,101,1,Huskies,Huskies_M1,Huskies_F2,1H,831.334785,Simple pass,20,54,23.0,63.0,M,17,11,"(11, 17)",182,F,"('M', 'F')",849,9.486832980505136,0.25,0.10540925533894598,1.0,0.44556275513321686,1255,927
70,70,102,1,Huskies,Huskies_F2,Huskies_F1,1H,833.172272,Head pass,23,63,31.0,97.0,F,11,10,"(10, 11)",30,F,"('F', 'F')",299,34.928498393145965,1.0,0.028629916715693413,0.16022099447513813,0.41234549694303385,859,473
71,71,103,1,Huskies,Huskies_F3,Huskies_M2,1H,876.588559,Simple pass,41,13,37.0,25.0,F,12,22,"(22, 12)",1,M,"('F', 'M')",699,12.649110640673518,0.75,0.07905694150420949,0.0,0.2763523138347365,56,69
72,72,104,1,Huskies,Huskies_M2,Huskies_F3,1H,877.617215,Simple pass,37,25,44.0,11.0,M,22,12,"(12, 22)",2,F,"('M', 'F')",849,15.652475842498527,0.25,0.06388765649999399,0.0055248618784530384,0.10283461607467785,76,73
73,73,105,1,Huskies,Huskies_D3,Huskies_F3,1H,888.4075290000003,High pass,43,40,76.0,8.0,D,3,12,"(12, 3)",1,F,"('D', 'F')",999,45.96737973824482,0.5,0.02175455737730469,0.0,0.1739181857924349,727,73
74,74,108,1,Huskies,Huskies_D1,Huskies_F3,1H,918.9819679999999,Simple pass,29,79,54.0,51.0,D,0,12,"(12, 0)",5,F,"('D', 'F')",999,37.53664875824692,0.5,0.026640630772354096,0.022099447513812157,0.18781804321462622,851,73
75,75,109,1,Huskies,Huskies_D2,Huskies_D1,1H,940.147302,Simple pass,28,49,27.0,80.0,D,2,0,"(0, 2)",62,D,"('D', 'D')",1478,31.01612483854165,1.0,0.03224129401095805,0.3370165745856354,0.45812201470185776,580,678
76,76,113,1,Huskies,Huskies_M2,Huskies_D2,1H,977.642684,Simple pass,36,73,27.0,85.0,M,22,2,"(2, 22)",3,D,"('M', 'D')",1668,15.0,0.25,0.06666666666666668,0.011049723756906077,0.10124054880469047,76,467
77,77,132,1,Huskies,Huskies_D3,Huskies_G1,1H,1080.525643,Simple pass,15,18,13.0,45.0,D,3,16,"(16, 3)",120,G,"('D', 'G')",443,27.07397274136177,0.5,0.036935842757655886,0.6574585635359116,0.3989407062980976,727,496
78,78,133,1,Huskies,Huskies_G1,Huskies_M1,1H,1083.6737679999999,High pass,13,45,39.0,97.0,G,16,17,"(17, 16)",24,M,"('G', 'M')",81,58.137767414994535,0.25,0.017200522903844537,0.1270718232044199,0.1386261622940099,473,1017
79,79,134,1,Huskies,Huskies_M1,Huskies_D1,1H,1086.5488679999999,Head pass,39,97,31.0,77.0,M,17,0,"(0, 17)",85,D,"('M', 'D')",1668,21.54065922853801,0.25,0.04642383454426297,0.4640883977900552,0.2570323265472936,1255,678
80,80,135,1,Huskies,Huskies_D1,Huskies_M3,1H,1088.3517,Simple pass,31,77,33.0,47.0,D,0,23,"(23, 0)",51,M,"('D', 'M')",1520,30.066592756745816,0.75,0.033259505261886965,0.27624309392265195,0.36284898704161533,851,717
81,81,136,1,Huskies,Huskies_M3,Huskies_D3,1H,1092.1348460000004,Simple pass,33,47,29.0,12.0,M,23,3,"(3, 23)",56,D,"('M', 'D')",1668,35.22782990761707,0.25,0.028386647790182983,0.30386740331491713,0.2030083936968661,887,582
82,82,137,1,Huskies,Huskies_D3,Huskies_D4,1H,1098.1089,Simple pass,71,8,72.0,7.0,D,3,4,"(4, 3)",59,D,"('D', 'D')",1478,1.4142135623730951,1.0,0.7071067811865475,0.32044198895027626,0.45969111716637123,727,615
83,83,138,1,Huskies,Huskies_D3,Huskies_D1,1H,1114.347374,Simple pass,58,8,41.0,73.0,D,3,0,"(0, 3)",98,D,"('D', 'D')",1478,67.1863081289633,1.0,0.014883984964325057,0.5359116022099447,0.5226345059536361,727,678
84,84,139,1,Huskies,Huskies_M3,Huskies_M1,1H,1124.0566210000004,Simple pass,62,62,62.0,72.0,M,23,17,"(17, 23)",168,M,"('M', 'M')",1301,10.0,1.0,0.1,0.9226519337016574,0.6635668458030811,887,1017
85,85,140,1,Huskies,Huskies_M1,Huskies_F2,1H,1128.904817,Simple pass,62,72,70.0,78.0,M,17,11,"(11, 17)",182,F,"('M', 'F')",849,10.0,0.25,0.1,1.0,0.44556275513321686,1255,927
86,86,141,1,Huskies,Huskies_F2,Huskies_M1,1H,1129.81297,Simple pass,70,78,74.0,60.0,F,11,17,"(17, 11)",117,M,"('F', 'M')",699,18.439088914585774,0.75,0.05423261445466404,0.6408839779005525,0.4924720117516282,859,1017
87,87,142,1,Huskies,Huskies_M1,Huskies_F1,1H,1145.628269,Simple pass,65,96,70.0,98.0,M,17,10,"(10, 17)",34,F,"('M', 'F')",849,5.385164807134505,0.25,0.18569533817705186,0.18232044198895028,0.16804157467646463,1255,473
88,88,143,1,Huskies,Huskies_F1,Huskies_F2,1H,1148.4961050000004,Simple pass,70,98,68.0,83.0,F,10,11,"(11, 10)",27,F,"('F', 'F')",299,15.132745950421555,1.0,0.06608186004550898,0.143646408839779,0.4132981654509586,238,927
89,89,144,1,Huskies,Huskies_F2,Huskies_D3,1H,1150.556157,Simple pass,68,83,66.0,38.0,F,11,3,"(3, 11)",56,D,"('F', 'D')",655,45.04442251822083,0.5,0.02220030681036019,0.30386740331491713,0.28447340032405305,859,582
90,90,145,1,Huskies,Huskies_D3,Huskies_D4,1H,1154.0537769999999,Simple pass,66,38,79.0,4.0,D,3,4,"(4, 3)",59,D,"('D', 'D')",1478,36.40054944640259,1.0,0.027472112789737803,0.32044198895027626,0.45969111716637123,727,615
91,91,146,1,Huskies,Huskies_M2,Huskies_M1,1H,1184.199743,Simple pass,70,8,65.0,61.0,M,22,17,"(17, 22)",6,M,"('M', 'M')",1301,53.23532661682466,1.0,0.018784518919133613,0.027624309392265192,0.3634664298424897,76,1017
92,92,149,1,Huskies,Huskies_M3,Huskies_D4,1H,1234.888756,Simple pass,28,19,19.0,5.0,M,23,4,"(4, 23)",88,D,"('M', 'D')",1668,16.643316977093242,0.25,0.060084176812610975,0.4806629834254144,0.26096623684127224,887,615
93,93,150,1,Huskies,Huskies_D4,Huskies_D2,1H,1237.056443,Simple pass,19,5,21.0,39.0,D,4,2,"(2, 4)",30,D,"('D', 'D')",1478,34.058772731852805,1.0,0.029361010975735177,0.16022099447513813,0.4094692368384072,569,467
94,94,151,1,Huskies,Huskies_D2,Huskies_D1,1H,1240.195071,Simple pass,21,39,27.0,76.0,D,2,0,"(0, 2)",62,D,"('D', 'D')",1478,37.483329627982634,1.0,0.02667852642561041,0.3370165745856354,0.45812201470185776,580,678
95,95,152,1,Huskies,Huskies_D1,Huskies_M1,1H,1243.2778779999999,Simple pass,27,76,40.0,96.0,D,0,17,"(17, 0)",92,M,"('D', 'M')",1520,23.853720883753127,0.75,0.04192218081503185,0.5027624309392266,0.44089306920203775,851,1017
96,96,153,1,Huskies,Huskies_M1,Huskies_F1,1H,1246.983038,High pass,40,96,74.0,98.0,M,17,10,"(10, 17)",34,F,"('M', 'F')",849,34.058772731852805,0.25,0.029361010975735177,0.18232044198895028,0.16804157467646463,1255,473
97,97,154,1,Huskies,Huskies_M2,Huskies_G1,1H,1285.762328,Head pass,29,52,12.0,43.0,M,22,16,"(16, 22)",2,G,"('M', 'G')",45,19.235384061671343,0.75,0.05198752449100364,0.0055248618784530384,0.27161731915242937,76,496
98,98,155,1,Huskies,Huskies_G1,Huskies_M1,1H,1299.229819,High pass,12,43,44.0,81.0,G,16,17,"(17, 16)",24,M,"('G', 'M')",81,49.67896939349689,0.25,0.02012924205571186,0.1270718232044199,0.1386261622940099,473,1017
99,99,156,1,Huskies,Huskies_M1,Huskies_F2,1H,1304.927402,Simple pass,44,81,49.0,75.0,M,17,11,"(11, 17)",182,F,"('M', 'F')",849,7.810249675906653,0.25,0.12803687993289598,1.0,0.44556275513321686,1255,927
100,100,157,1,Huskies,Huskies_F2,Huskies_D1,1H,1306.588143,Simple pass,49,75,34.0,80.0,F,11,0,"(0, 11)",55,D,"('F', 'D')",655,15.811388300841895,0.5,0.06324555320336757,0.2983425414364641,0.28161011750873505,859,678
101,101,158,1,Huskies,Huskies_D1,Huskies_D2,1H,1308.752362,Simple pass,34,80,28.0,51.0,D,0,2,"(2, 0)",59,D,"('D', 'D')",1478,29.614185789921688,1.0,0.03376760067265872,0.32044198895027626,0.4578013677983789,851,467
102,102,159,1,Huskies,Huskies_D2,Huskies_D3,1H,1311.029947,Simple pass,28,51,38.0,24.0,D,2,3,"(3, 2)",49,D,"('D', 'D')",1478,28.79236009777593,1.0,0.034731435582359395,0.26519337016574585,0.43398821703240853,580,582
103,103,160,1,Huskies,Huskies_D3,Huskies_M1,1H,1314.932615,Simple pass,38,24,42.0,67.0,D,3,17,"(17, 3)",47,M,"('D', 'M')",1520,43.18564576337836,0.75,0.02315584223237446,0.2541436464088398,0.35658206069012455,727,1017
104,104,161,1,Huskies,Huskies_M1,Huskies_F2,1H,1317.2505529999999,Simple pass,42,67,54.0,92.0,M,17,11,"(11, 17)",182,F,"('M', 'F')",849,27.73084924772409,0.25,0.03606092229873095,1.0,0.44556275513321686,1255,927
