,MatchID,TeamID,OriginPlayerID,DestinationPlayerID,MatchPeriod,EventTime,EventSubType,EventOrigin_x,EventOrigin_y,EventDestination_x,EventDestination_y,Position,OriginPlayerID_,OriginPlayerIDFit,DestinationPlayerID_,DestinationPlayerIDFit,PlayerIDFitPair,PassingBetweenPlayerCount,DestinationPosition,PositionFitPair,PassingBetweenPositionCount
71,1,Opponent1,Opponent1_D1,Opponent1_M1,1H,607.6659480000001,Simple pass,55,29,60.0,27.0,D,D1,0,M1,15,"(0, 15)",106,M,"('D', 'M')",2526
72,1,Opponent1,Opponent1_M1,Opponent1_M2,1H,609.742066,Simple pass,60,27,71.0,8.0,M,M1,15,M2,16,"(15, 16)",153,M,"('M', 'M')",2615
73,1,Opponent1,Opponent1_M2,Opponent1_F2,1H,611.626465,Simple pass,71,8,67.0,14.0,M,M2,16,F2,8,"(16, 8)",51,F,"('M', 'F')",809
74,1,Opponent1,Opponent1_F2,Opponent1_M2,1H,614.115182,Smart pass,67,14,90.0,7.0,F,F2,8,M2,16,"(8, 16)",47,M,"('F', 'M')",680
75,1,Opponent1,Opponent1_D2,Opponent1_F2,1H,628.545296,Head pass,53,15,75.0,10.0,D,D2,1,F2,8,"(1, 8)",46,F,"('D', 'F')",607
93,1,Opponent1,Opponent1_G1,Opponent1_D3,1H,694.4147320000001,Hand pass,13,69,28.0,96.0,G,G1,13,D3,2,"(13, 2)",63,D,"('G', 'D')",331
94,1,Opponent1,Opponent1_D3,Opponent1_M2,1H,698.0026190000001,Simple pass,28,96,32.0,91.0,D,D3,2,M2,16,"(2, 16)",74,M,"('D', 'M')",2526
95,1,Opponent1,Opponent1_M2,Opponent1_G1,1H,699.2672190000001,Simple pass,32,91,9.0,64.0,M,M2,16,G1,13,"(16, 13)",20,G,"('M', 'G')",79
106,1,Opponent1,Opponent1_G1,Opponent1_D2,1H,907.768956,Simple pass,19,61,42.0,16.0,G,G1,13,D2,1,"(13, 1)",74,D,"('G', 'D')",331
107,1,Opponent1,Opponent1_D2,Opponent1_F1,1H,911.123578,High pass,42,16,85.0,48.0,D,D2,1,F1,7,"(1, 7)",65,F,"('D', 'F')",607
110,1,Opponent1,Opponent1_F2,Opponent1_M1,1H,948.6267939999999,Simple pass,30,16,37.0,33.0,F,F2,8,M1,15,"(8, 15)",47,M,"('F', 'M')",680
111,1,Opponent1,Opponent1_M1,Opponent1_M2,1H,952.727927,Simple pass,37,33,47.0,54.0,M,M1,15,M2,16,"(15, 16)",153,M,"('M', 'M')",2615
112,1,Opponent1,Opponent1_M1,Opponent1_F1,1H,974.161228,Simple pass,58,10,73.0,15.0,M,M1,15,F1,7,"(15, 7)",93,F,"('M', 'F')",809
114,1,Opponent1,Opponent1_F1,Opponent1_M1,1H,978.084482,Simple pass,71,20,56.0,26.0,F,F1,7,M1,15,"(7, 15)",68,M,"('F', 'M')",680
115,1,Opponent1,Opponent1_M1,Opponent1_D3,1H,978.887699,Simple pass,56,26,63.0,60.0,M,M1,15,D3,2,"(15, 2)",113,D,"('M', 'D')",2499
116,1,Opponent1,Opponent1_D3,Opponent1_M1,1H,983.654621,Simple pass,63,60,60.0,36.0,D,D3,2,M1,15,"(2, 15)",90,M,"('D', 'M')",2526
117,1,Opponent1,Opponent1_M1,Opponent1_M2,1H,987.186874,Simple pass,60,36,71.0,67.0,M,M1,15,M2,16,"(15, 16)",153,M,"('M', 'M')",2615
118,1,Opponent1,Opponent1_M2,Opponent1_D3,1H,989.2366900000001,Simple pass,71,67,57.0,71.0,M,M2,16,D3,2,"(16, 2)",89,D,"('M', 'D')",2499
119,1,Opponent1,Opponent1_D3,Opponent1_M1,1H,991.232253,Simple pass,57,71,55.0,52.0,D,D3,2,M1,15,"(2, 15)",90,M,"('D', 'M')",2526
120,1,Opponent1,Opponent1_M1,Opponent1_D2,1H,995.008376,Simple pass,55,52,58.0,32.0,M,M1,15,D2,1,"(15, 1)",127,D,"('M', 'D')",2499
121,1,Opponent1,Opponent1_D2,Opponent1_M3,1H,997.713151,Simple pass,58,32,65.0,40.0,D,D2,1,M3,17,"(1, 17)",129,M,"('D', 'M')",2526
122,1,Opponent1,Opponent1_M3,Opponent1_M1,1H,999.236592,Simple pass,65,40,64.0,56.0,M,M3,17,M1,15,"(17, 15)",152,M,"('M', 'M')",2615
123,1,Opponent1,Opponent1_M1,Opponent1_D2,1H,1002.0092599999999,Simple pass,64,56,75.0,30.0,M,M1,15,D2,1,"(15, 1)",127,D,"('M', 'D')",2499
124,1,Opponent1,Opponent1_D2,Opponent1_F2,1H,1003.705746,Simple pass,75,30,72.0,59.0,D,D2,1,F2,8,"(1, 8)",46,F,"('D', 'F')",607
125,1,Opponent1,Opponent1_M2,Opponent1_M2,1H,1017.845967,Simple pass,78,18,74.0,8.0,M,M2,16,M2,16,"(16, 16)",10,M,"('M', 'M')",2615
126,1,Opponent1,Opponent1_M2,Opponent1_M1,1H,1018.977244,Simple pass,74,8,64.0,40.0,M,M2,16,M1,15,"(16, 15)",136,M,"('M', 'M')",2615
127,1,Opponent1,Opponent1_M1,Opponent1_F2,1H,1024.129555,Simple pass,64,40,69.0,58.0,M,M1,15,F2,8,"(15, 8)",63,F,"('M', 'F')",809
128,1,Opponent1,Opponent1_F2,Opponent1_M1,1H,1025.4887210000002,Simple pass,69,58,64.0,53.0,F,F2,8,M1,15,"(8, 15)",47,M,"('F', 'M')",680
129,1,Opponent1,Opponent1_M1,Opponent1_D3,1H,1026.6000960000001,Simple pass,64,53,74.0,83.0,M,M1,15,D3,2,"(15, 2)",113,D,"('M', 'D')",2499
130,1,Opponent1,Opponent1_D3,Opponent1_F2,1H,1032.126828,Simple pass,74,83,66.0,67.0,D,D3,2,F2,8,"(2, 8)",31,F,"('D', 'F')",607
131,1,Opponent1,Opponent1_M3,Opponent1_D3,1H,1048.457823,Simple pass,80,79,80.0,84.0,M,M3,17,D3,2,"(17, 2)",123,D,"('M', 'D')",2499
147,1,Opponent1,Opponent1_D2,Opponent1_G1,1H,1212.753315,Simple pass,33,14,18.0,55.0,D,D2,1,G1,13,"(1, 13)",76,G,"('D', 'G')",383
148,1,Opponent1,Opponent1_G1,Opponent1_F3,1H,1228.9195960000002,Launch,18,55,76.0,88.0,G,G1,13,F3,9,"(13, 9)",10,F,"('G', 'F')",73
212,1,Opponent1,Opponent1_M1,Opponent1_M2,1H,1693.228444,Simple pass,38,72,62.0,67.0,M,M1,15,M2,16,"(15, 16)",153,M,"('M', 'M')",2615
218,1,Opponent1,Opponent1_F1,Opponent1_F2,1H,1791.1042489999998,Simple pass,79,14,68.0,18.0,F,F1,7,F2,8,"(7, 8)",27,F,"('F', 'F')",169
219,1,Opponent1,Opponent1_F2,Opponent1_D4,1H,1794.176617,Simple pass,68,18,51.0,49.0,F,F2,8,D4,3,"(8, 3)",20,D,"('F', 'D')",336
220,1,Opponent1,Opponent1_D4,Opponent1_M1,1H,1797.149069,Simple pass,51,49,54.0,57.0,D,D4,3,M1,15,"(3, 15)",136,M,"('D', 'M')",2526
221,1,Opponent1,Opponent1_M1,Opponent1_F1,1H,1799.0961899999998,High pass,54,57,90.0,15.0,M,M1,15,F1,7,"(15, 7)",93,F,"('M', 'F')",809
222,1,Opponent1,Opponent1_F1,Opponent1_D1,1H,1804.6708820000001,Simple pass,90,15,73.0,8.0,F,F1,7,D1,0,"(7, 0)",31,D,"('F', 'D')",336
223,1,Opponent1,Opponent1_D1,Opponent1_F2,1H,1808.4284539999999,Simple pass,73,8,82.0,23.0,D,D1,0,F2,8,"(0, 8)",39,F,"('D', 'F')",607
246,1,Opponent1,Opponent1_M2,Opponent1_M1,1H,1999.175661,Simple pass,91,93,84.0,92.0,M,M2,16,M1,15,"(16, 15)",136,M,"('M', 'M')",2615
247,1,Opponent1,Opponent1_F2,Opponent1_D1,1H,2033.788496,Simple pass,78,81,53.0,54.0,F,F2,8,D1,0,"(8, 0)",16,D,"('F', 'D')",336
248,1,Opponent1,Opponent1_D1,Opponent1_M3,1H,2037.291987,Simple pass,53,54,58.0,34.0,D,D1,0,M3,17,"(0, 17)",146,M,"('D', 'M')",2526
249,1,Opponent1,Opponent1_M3,Opponent1_D2,1H,2078.86416,Simple pass,30,16,14.0,25.0,M,M3,17,D2,1,"(17, 1)",117,D,"('M', 'D')",2499
250,1,Opponent1,Opponent1_D2,Opponent1_F1,1H,2080.2745760000003,High pass,14,25,54.0,28.0,D,D2,1,F1,7,"(1, 7)",65,F,"('D', 'F')",607
257,1,Opponent1,Opponent1_D3,Opponent1_D2,1H,2160.6479170000002,Simple pass,30,78,31.0,30.0,D,D3,2,D2,1,"(2, 1)",78,D,"('D', 'D')",1795
258,1,Opponent1,Opponent1_D2,Opponent1_D1,1H,2164.4410780000003,Simple pass,31,30,34.0,14.0,D,D2,1,D1,0,"(1, 0)",103,D,"('D', 'D')",1795
259,1,Opponent1,Opponent1_D1,Opponent1_F2,1H,2169.746612,Simple pass,34,14,42.0,9.0,D,D1,0,F2,8,"(0, 8)",39,F,"('D', 'F')",607
260,1,Opponent1,Opponent1_F2,Opponent1_D2,1H,2171.9798140000003,Simple pass,42,9,43.0,6.0,F,F2,8,D2,1,"(8, 1)",22,D,"('F', 'D')",336
267,1,Opponent1,Opponent1_M3,Opponent1_F2,1H,2203.7086329999997,Simple pass,34,63,42.0,37.0,M,M3,17,F2,8,"(17, 8)",46,F,"('M', 'F')",809
268,1,Opponent1,Opponent1_F2,Opponent1_M1,1H,2207.635025,Simple pass,47,53,47.0,64.0,F,F2,8,M1,15,"(8, 15)",47,M,"('F', 'M')",680
269,1,Opponent1,Opponent1_M1,Opponent1_D1,1H,2210.2367280000003,High pass,47,64,99.0,16.0,M,M1,15,D1,0,"(15, 0)",125,D,"('M', 'D')",2499
282,1,Opponent1,Opponent1_D2,Opponent1_M2,1H,2281.555748,Simple pass,35,35,48.0,56.0,D,D2,1,M2,16,"(1, 16)",102,M,"('D', 'M')",2526
283,1,Opponent1,Opponent1_M2,Opponent1_D3,1H,2285.971589,Simple pass,48,56,59.0,88.0,M,M2,16,D3,2,"(16, 2)",89,D,"('M', 'D')",2499
284,1,Opponent1,Opponent1_D3,Opponent1_F3,1H,2288.089607,Smart pass,59,88,80.0,82.0,D,D3,2,F3,9,"(2, 9)",16,F,"('D', 'F')",607
287,1,Opponent1,Opponent1_M1,Opponent1_M3,1H,2308.140323,Simple pass,22,63,25.0,70.0,M,M1,15,M3,17,"(15, 17)",154,M,"('M', 'M')",2615
288,1,Opponent1,Opponent1_M3,Opponent1_M2,1H,2309.186807,Simple pass,25,70,40.0,83.0,M,M3,17,M2,16,"(17, 16)",138,M,"('M', 'M')",2615
289,1,Opponent1,Opponent1_M2,Opponent1_F3,1H,2313.458965,Simple pass,40,83,76.0,85.0,M,M2,16,F3,9,"(16, 9)",32,F,"('M', 'F')",809
290,1,Opponent1,Opponent1_F3,Opponent1_M3,1H,2321.862986,Simple pass,76,85,89.0,89.0,F,F3,9,M3,17,"(9, 17)",29,M,"('F', 'M')",680
294,1,Opponent1,Opponent1_D3,Opponent1_F2,1H,2444.350446,Simple pass,20,71,40.0,7.0,D,D3,2,F2,8,"(2, 8)",31,F,"('D', 'F')",607
295,1,Opponent1,Opponent1_F2,Opponent1_M1,1H,2457.132799,Simple pass,40,7,41.0,19.0,F,F2,8,M1,15,"(8, 15)",47,M,"('F', 'M')",680
296,1,Opponent1,Opponent1_G1,Opponent1_D2,1H,2477.697656,Simple pass,13,43,42.0,12.0,G,G1,13,D2,1,"(13, 1)",74,D,"('G', 'D')",331
297,1,Opponent1,Opponent1_D2,Opponent1_F1,1H,2485.539002,High pass,42,12,64.0,17.0,D,D2,1,F1,7,"(1, 7)",65,F,"('D', 'F')",607
298,1,Opponent1,Opponent1_M1,Opponent1_M3,1H,2608.514427,Head pass,78,40,77.0,66.0,M,M1,15,M3,17,"(15, 17)",154,M,"('M', 'M')",2615
299,1,Opponent1,Opponent1_M3,Opponent1_D4,1H,2610.753257,Cross,77,66,88.0,45.0,M,M3,17,D4,3,"(17, 3)",93,D,"('M', 'D')",2499
304,1,Opponent1,Opponent1_M2,Opponent1_F2,1H,2652.505927,Simple pass,53,65,61.0,50.0,M,M2,16,F2,8,"(16, 8)",51,F,"('M', 'F')",809
305,1,Opponent1,Opponent1_F2,Opponent1_M3,1H,2654.4922030000002,Simple pass,61,50,70.0,53.0,F,F2,8,M3,17,"(8, 17)",34,M,"('F', 'M')",680
306,1,Opponent1,Opponent1_M3,Opponent1_F2,1H,2658.929429,Simple pass,70,53,77.0,80.0,M,M3,17,F2,8,"(17, 8)",46,F,"('M', 'F')",809
314,1,Opponent1,Opponent1_M3,Opponent1_D2,1H,2789.997921,Simple pass,43,62,38.0,30.0,M,M3,17,D2,1,"(17, 1)",117,D,"('M', 'D')",2499
315,1,Opponent1,Opponent1_D2,Opponent1_M1,1H,2792.948355,Simple pass,38,30,43.0,36.0,D,D2,1,M1,15,"(1, 15)",154,M,"('D', 'M')",2526
316,1,Opponent1,Opponent1_M1,Opponent1_D3,1H,2794.58112,Simple pass,43,36,41.0,83.0,M,M1,15,D3,2,"(15, 2)",113,D,"('M', 'D')",2499
317,1,Opponent1,Opponent1_D3,Opponent1_D3,1H,2799.115514,Simple pass,41,83,43.0,76.0,D,D3,2,D3,2,"(2, 2)",13,D,"('D', 'D')",1795
318,1,Opponent1,Opponent1_D3,Opponent1_D1,1H,2805.2621440000003,High pass,43,76,89.0,17.0,D,D3,2,D1,0,"(2, 0)",89,D,"('D', 'D')",1795
321,1,Opponent1,Opponent1_F1,Opponent1_D1,2H,15.241089999999984,Simple pass,89,14,89.0,7.0,F,F1,7,D1,0,"(7, 0)",31,D,"('F', 'D')",336
332,1,Opponent1,Opponent1_F3,Opponent1_M2,2H,122.75173399999994,Simple pass,77,88,74.0,77.0,F,F3,9,M2,16,"(9, 16)",22,M,"('F', 'M')",680
333,1,Opponent1,Opponent1_M2,Opponent1_F2,2H,124.6251309999998,High pass,74,77,88.0,61.0,M,M2,16,F2,8,"(16, 8)",51,F,"('M', 'F')",809
334,1,Opponent1,Opponent1_D3,Opponent1_M1,2H,154.36210900000015,Head pass,46,67,56.0,37.0,D,D3,2,M1,15,"(2, 15)",90,M,"('D', 'M')",2526
335,1,Opponent1,Opponent1_D1,Opponent1_D1,2H,158.8341620000001,Simple pass,55,19,61.0,10.0,D,D1,0,D1,0,"(0, 0)",26,D,"('D', 'D')",1795
343,1,Opponent1,Opponent1_D3,Opponent1_M2,2H,196.65804900000006,High pass,35,91,74.0,93.0,D,D3,2,M2,16,"(2, 16)",74,M,"('D', 'M')",2526
344,1,Opponent1,Opponent1_M2,Opponent1_D2,2H,207.29064000000017,Simple pass,54,80,56.0,37.0,M,M2,16,D2,1,"(16, 1)",107,D,"('M', 'D')",2499
345,1,Opponent1,Opponent1_D2,Opponent1_D1,2H,209.8721019999998,Simple pass,56,37,80.0,9.0,D,D2,1,D1,0,"(1, 0)",103,D,"('D', 'D')",1795
346,1,Opponent1,Opponent1_D1,Opponent1_G1,2H,269.9778849999998,Simple pass,19,9,8.0,41.0,D,D1,0,G1,13,"(0, 13)",85,G,"('D', 'G')",383
347,1,Opponent1,Opponent1_G1,Opponent1_M1,2H,271.98976300000004,Launch,8,41,38.0,17.0,G,G1,13,M1,15,"(13, 15)",17,M,"('G', 'M')",87
354,1,Opponent1,Opponent1_F2,Opponent1_D1,2H,404.367526,High pass,9,8,23.0,5.0,F,F2,8,D1,0,"(8, 0)",16,D,"('F', 'D')",336
357,1,Opponent1,Opponent1_D1,Opponent1_F2,2H,433.152098,Simple pass,65,6,71.0,2.0,D,D1,0,F2,8,"(0, 8)",39,F,"('D', 'F')",607
358,1,Opponent1,Opponent1_M1,Opponent1_G1,2H,440.65590100000014,Simple pass,48,5,24.0,58.0,M,M1,15,G1,13,"(15, 13)",12,G,"('M', 'G')",79
359,1,Opponent1,Opponent1_G1,Opponent1_F3,2H,447.99007900000015,Launch,24,58,67.0,91.0,G,G1,13,F3,9,"(13, 9)",10,F,"('G', 'F')",73
361,1,Opponent1,Opponent1_F3,Opponent1_M3,2H,454.9852970000002,Simple pass,65,87,73.0,87.0,F,F3,9,M3,17,"(9, 17)",29,M,"('F', 'M')",680
362,1,Opponent1,Opponent1_M3,Opponent1_M2,2H,456.4534330000001,Simple pass,73,87,92.0,90.0,M,M3,17,M2,16,"(17, 16)",138,M,"('M', 'M')",2615
366,1,Opponent1,Opponent1_F2,Opponent1_D2,2H,493.589767,Simple pass,73,9,80.0,7.0,F,F2,8,D2,1,"(8, 1)",22,D,"('F', 'D')",336
367,1,Opponent1,Opponent1_D2,Opponent1_F1,2H,495.348465,High pass,80,7,84.0,37.0,D,D2,1,F1,7,"(1, 7)",65,F,"('D', 'F')",607
382,1,Opponent1,Opponent1_M1,Opponent1_F2,2H,646.0948560000003,Head pass,58,65,66.0,71.0,M,M1,15,F2,8,"(15, 8)",63,F,"('M', 'F')",809
383,1,Opponent1,Opponent1_M2,Opponent1_F2,2H,653.2827579999997,Simple pass,77,84,94.0,84.0,M,M2,16,F2,8,"(16, 8)",51,F,"('M', 'F')",809
384,1,Opponent1,Opponent1_F2,Opponent1_F3,2H,663.6279159999998,Simple pass,90,85,73.0,88.0,F,F2,8,F3,9,"(8, 9)",8,F,"('F', 'F')",169
385,1,Opponent1,Opponent1_F3,Opponent1_M1,2H,665.1657949999999,Simple pass,73,88,65.0,74.0,F,F3,9,M1,15,"(9, 15)",32,M,"('F', 'M')",680
386,1,Opponent1,Opponent1_M1,Opponent1_F3,2H,666.6920799999998,Simple pass,65,74,67.0,92.0,M,M1,15,F3,9,"(15, 9)",40,F,"('M', 'F')",809
387,1,Opponent1,Opponent1_F3,Opponent1_M2,2H,669.0846179999999,Simple pass,67,92,81.0,80.0,F,F3,9,M2,16,"(9, 16)",22,M,"('F', 'M')",680
388,1,Opponent1,Opponent1_M1,Opponent1_D4,2H,744.610369,High pass,61,61,92.0,30.0,M,M1,15,D4,3,"(15, 3)",112,D,"('M', 'D')",2499
391,1,Opponent1,Opponent1_M3,Opponent1_M1,2H,763.195655,Simple pass,81,29,75.0,35.0,M,M3,17,M1,15,"(17, 15)",152,M,"('M', 'M')",2615
392,1,Opponent1,Opponent1_M3,Opponent1_M1,2H,803.9936050000001,Simple pass,68,75,67.0,93.0,M,M3,17,M1,15,"(17, 15)",152,M,"('M', 'M')",2615
393,1,Opponent1,Opponent1_M1,Opponent1_D3,2H,806.6630129999999,Simple pass,67,93,55.0,81.0,M,M1,15,D3,2,"(15, 2)",113,D,"('M', 'D')",2499
394,1,Opponent1,Opponent1_D4,Opponent1_D2,2H,820.5567510000002,Head pass,26,30,36.0,20.0,D,D4,3,D2,1,"(3, 1)",119,D,"('D', 'D')",1795
398,1,Opponent1,Opponent1_F2,Opponent1_M1,2H,847.9019579999998,Simple pass,17,5,24.0,17.0,F,F2,8,M1,15,"(8, 15)",47,M,"('F', 'M')",680
399,1,Opponent1,Opponent1_M1,Opponent1_D2,2H,850.5682940000003,Simple pass,24,17,19.0,21.0,M,M1,15,D2,1,"(15, 1)",127,D,"('M', 'D')",2499
405,1,Opponent1,Opponent1_D2,Opponent1_F3,2H,934.164116,Simple pass,24,31,39.0,75.0,D,D2,1,F3,9,"(1, 9)",12,F,"('D', 'F')",607
413,1,Opponent1,Opponent1_M3,Opponent1_M2,2H,1010.356484,Simple pass,61,81,75.0,86.0,M,M3,17,M2,16,"(17, 16)",138,M,"('M', 'M')",2615
440,1,Opponent1,Opponent1_M1,Opponent1_M3,2H,1176.5468849999995,Simple pass,64,80,72.0,85.0,M,M1,15,M3,17,"(15, 17)",154,M,"('M', 'M')",2615
445,1,Opponent1,Opponent1_M3,Opponent1_M2,2H,1261.7598859999996,Simple pass,47,35,47.0,53.0,M,M3,17,M2,16,"(17, 16)",138,M,"('M', 'M')",2615
446,1,Opponent1,Opponent1_M2,Opponent1_D3,2H,1263.7667469999994,Simple pass,47,53,38.0,61.0,M,M2,16,D3,2,"(16, 2)",89,D,"('M', 'D')",2499
447,1,Opponent1,Opponent1_D3,Opponent1_M1,2H,1266.3037670000006,Simple pass,38,61,54.0,27.0,D,D3,2,M1,15,"(2, 15)",90,M,"('D', 'M')",2526
448,1,Opponent1,Opponent1_D2,Opponent1_M3,2H,1310.454189,Simple pass,63,8,58.0,45.0,D,D2,1,M3,17,"(1, 17)",129,M,"('D', 'M')",2526
467,1,Opponent1,Opponent1_D3,Opponent1_F3,2H,1384.8801320000002,Head pass,19,67,21.0,94.0,D,D3,2,F3,9,"(2, 9)",16,F,"('D', 'F')",607
468,1,Opponent1,Opponent1_F3,Opponent1_D3,2H,1390.3748859999994,Simple pass,21,94,19.0,81.0,F,F3,9,D3,2,"(9, 2)",11,D,"('F', 'D')",336
471,1,Opponent1,Opponent1_F5,Opponent1_D2,2H,1621.1798909999998,Simple pass,29,8,15.0,9.0,F,F5,11,D2,1,"(11, 1)",4,D,"('F', 'D')",336
474,1,Opponent1,Opponent1_M3,Opponent1_F3,2H,1631.804489,Simple pass,19,57,24.0,70.0,M,M3,17,F3,9,"(17, 9)",38,F,"('M', 'F')",809
475,1,Opponent1,Opponent1_D1,Opponent1_F5,2H,1646.8332410000005,Simple pass,51,8,70.0,12.0,D,D1,0,F5,11,"(0, 11)",3,F,"('D', 'F')",607
476,1,Opponent1,Opponent1_M3,Opponent1_M1,2H,1666.5801869999993,Head pass,71,56,65.0,46.0,M,M3,17,M1,15,"(17, 15)",152,M,"('M', 'M')",2615
482,1,Opponent1,Opponent1_M2,Opponent1_D4,2H,1701.4139480000006,Simple pass,12,70,21.0,55.0,M,M2,16,D4,3,"(16, 3)",89,D,"('M', 'D')",2499
483,1,Opponent1,Opponent1_D4,Opponent1_D1,2H,1705.07884,Simple pass,21,55,32.0,11.0,D,D4,3,D1,0,"(3, 0)",76,D,"('D', 'D')",1795
484,1,Opponent1,Opponent1_D1,Opponent1_F5,2H,1710.2352659999995,Simple pass,63,8,85.0,16.0,D,D1,0,F5,11,"(0, 11)",3,F,"('D', 'F')",607
485,1,Opponent1,Opponent1_F5,Opponent1_M3,2H,1713.7690759999994,Simple pass,85,16,81.0,41.0,F,F5,11,M3,17,"(11, 17)",6,M,"('F', 'M')",680
487,1,Opponent1,Opponent1_D3,Opponent1_G1,2H,1740.2946510000004,Simple pass,9,65,12.0,71.0,D,D3,2,G1,13,"(2, 13)",84,G,"('D', 'G')",383
488,1,Opponent1,Opponent1_G1,Opponent1_D3,2H,1743.6360459999994,Hand pass,12,71,37.0,72.0,G,G1,13,D3,2,"(13, 2)",63,D,"('G', 'D')",331
489,1,Opponent1,Opponent1_D3,Opponent1_M3,2H,1749.216461,Simple pass,37,72,43.0,50.0,D,D3,2,M3,17,"(2, 17)",118,M,"('D', 'M')",2526
490,1,Opponent1,Opponent1_M3,Opponent1_F5,2H,1752.089132,Simple pass,43,50,70.0,31.0,M,M3,17,F5,11,"(17, 11)",2,F,"('M', 'F')",809
